FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
3,2,1,1,1.66,3.4,4.5,1.55,3.7,5.3,1.73,3.4,4.75,1.65,3.3,4.4,1.73,3.4,4.0,1.73,3.4,4.5,1.61,3.3,5.0,1.75,1.95,1.8,2.0,2.45,1.5,-1,2.02,1.82,-0.75,2.075,1.825,-0.75
3,0,1,0,1.5,3.5,6.0,1.4,4.2,6.6,1.53,3.75,6.2,1.65,3.3,4.4,1.5,3.6,5.5,1.44,3.75,7.0,1.5,3.4,6.0,1.65,2.05,1.61,2.25,1.8,2.05,-0.75,2.1,1.74,-1.0,1.8,2.1,-0.75
1,1,0,0,2.3,3.2,2.7,2.3,3.3,2.75,2.3,3.25,3.0,2.2,3.0,2.9,2.25,3.2,2.75,2.3,3.2,2.88,2.3,3.2,2.62,1.71,2.0,1.66,2.15,1.7,2.05,0,2.06,1.78,-0.25,2.1,1.8,-0.25
0,0,0,0,2.6,3.2,2.4,2.45,3.15,2.65,2.65,3.2,2.55,2.4,2.9,2.7,2.5,3.2,2.5,2.6,3.2,2.5,2.4,3.1,2.6,1.75,1.95,1.8,2.0,2.3,1.55,-0.25,1.88,1.96,0.0,1.9,2.0,0.0
3,1,2,1,1.28,4.5,8.5,1.25,5.0,9.8,1.31,4.75,9.5,1.3,4.2,8.0,1.3,4.33,8.0,1.3,4.75,8.5,1.3,4.33,8.0,1.55,2.2,1.61,2.25,1.6,2.2,-1.25,1.98,1.86,-1.5,2.0,1.9,-1.5
1,4,0,0,2.62,3.2,2.37,2.6,3.3,2.4,2.7,3.2,2.5,2.6,3.0,2.4,2.4,3.25,2.5,2.75,3.2,2.38,2.5,3.1,2.5,1.6,2.1,1.66,2.15,2.2,1.6,-0.25,2.02,1.82,0.0,2.05,1.85,0.0
1,0,0,0,2.5,3.2,2.5,2.6,3.3,2.4,2.6,3.2,2.6,2.5,3.0,2.5,2.5,3.2,2.5,2.5,3.2,2.6,2.6,3.1,2.4,1.65,2.0,1.66,2.15,2.2,1.6,-0.25,1.92,1.92,0.0,1.9,2.0,0.0
2,2,2,0,1.83,3.25,3.75,1.8,3.4,4.0,1.83,3.4,4.25,1.8,3.1,3.8,1.8,3.25,3.75,1.85,3.25,4.0,1.83,3.2,3.75,1.65,2.0,1.7,2.1,1.55,2.3,-0.25,1.8,2.04,-0.5,1.825,2.075,-0.5
1,2,0,1,1.8,3.25,4.0,1.75,3.4,4.3,1.83,3.35,4.25,1.85,3.1,3.6,1.73,3.4,4.0,1.8,3.4,4.0,1.83,3.2,3.75,1.79,1.9,1.75,2.05,1.83,1.87,-0.5,2.02,1.82,-0.75,2.025,1.875,-0.75
3,0,2,0,2.2,3.25,2.8,2.15,3.2,3.1,2.2,3.3,3.1,2.2,3.0,2.9,2.1,3.2,3.0,2.1,3.25,3.2,2.1,3.1,3.1,1.75,1.95,1.75,2.05,1.55,2.3,0,1.92,1.92,-0.25,2.0,1.9,-0.25
2,1,1,0,1.61,3.4,5.0,1.65,3.5,4.8,1.7,3.4,5.0,1.65,3.3,4.4,1.62,3.5,4.5,1.67,3.5,4.75,1.7,3.3,4.33,1.55,2.25,1.65,2.2,2.05,1.7,-1,1.76,2.08,-0.75,1.8,2.1,-0.75
2,1,1,1,2.1,3.25,3.0,2.2,3.2,3.0,2.2,3.3,3.1,2.1,3.0,3.1,2.1,3.2,3.0,2.2,3.2,3.0,2.15,3.1,3.0,1.75,1.95,1.75,2.05,1.55,2.3,0,1.88,1.96,-0.25,1.925,1.975,-0.25
1,1,0,1,2.62,3.2,2.37,2.8,3.25,2.3,2.85,3.25,2.35,2.9,3.0,2.2,2.6,3.2,2.38,2.88,3.2,2.3,2.75,3.1,2.3,1.65,2.0,1.66,2.15,1.8,2.05,0.25,1.82,2.02,0.25,1.8,2.1,0.25
0,1,0,0,1.83,3.25,3.75,1.8,3.4,4.0,1.85,3.4,4.0,1.8,3.1,3.8,1.91,3.4,3.25,1.91,3.25,3.75,1.9,3.1,3.6,1.71,2.0,,,1.85,1.84,-0.5,1.8,2.04,-0.5,1.875,2.025,-0.5
2,2,2,2,1.57,3.4,5.5,1.5,3.9,5.6,1.55,3.7,6.1,1.5,3.7,5.0,1.53,3.5,5.5,1.5,3.6,6.5,1.53,3.5,5.5,1.65,2.0,1.61,2.25,2.3,1.57,-1.25,1.84,2.0,-1.0,1.825,2.075,-1.0
1,2,0,1,1.9,3.25,3.5,2.0,3.25,3.4,2.0,3.25,3.7,1.9,3.1,3.5,1.91,3.25,3.4,2.0,3.2,3.5,1.9,3.1,3.6,1.85,1.85,1.85,1.95,1.65,2.15,-0.25,2.02,1.82,-0.5,2.05,1.85,-0.5
1,3,0,2,2.0,3.25,3.25,1.95,3.3,3.5,2.05,3.25,3.5,1.9,3.1,3.5,1.91,3.2,3.5,2.1,3.2,3.25,1.9,3.1,3.6,1.6,2.1,1.66,2.15,1.75,2.0,-0.25,2.0,1.84,-0.5,2.05,1.85,-0.5
0,2,0,1,2.0,3.25,3.25,2.1,3.2,3.2,2.15,3.2,3.3,2.0,3.1,3.2,2.1,3.2,3.0,2.1,3.2,3.25,2.1,3.1,3.1,1.75,1.95,1.7,2.1,1.5,2.45,0,1.96,1.88,-0.25,1.925,1.975,-0.25
3,0,1,0,1.61,3.4,5.0,1.5,3.9,5.6,1.57,3.6,6.1,1.65,3.3,4.4,1.57,3.5,5.0,1.57,3.6,5.5,1.57,3.3,5.5,1.6,2.15,1.61,2.25,2.3,1.55,-1.25,2.0,1.84,-1.0,2.05,1.85,-1.0
1,2,0,1,2.37,3.2,2.62,2.4,3.3,2.6,2.5,3.25,2.7,2.5,3.0,2.5,2.4,3.25,2.5,2.5,3.2,2.6,2.4,3.1,2.6,1.65,2.0,1.7,2.1,2.2,1.6,-0.25,,,,1.9,2.0,0.0
2,1,2,1,1.61,3.4,5.0,1.65,3.5,4.8,1.7,3.4,5.1,1.65,3.3,4.4,1.57,3.5,5.0,1.62,3.6,5.0,1.57,3.5,5.0,1.6,2.15,1.57,2.3,1.85,2.0,-0.75,1.86,1.98,-0.75,1.875,2.025,-0.75
0,2,0,1,3.25,3.25,2.0,3.7,3.3,1.9,3.5,3.25,2.05,3.5,3.1,1.9,3.2,3.2,2.0,3.5,3.2,2.0,3.0,3.1,2.15,1.75,1.95,1.9,1.9,2.1,1.67,0.25,1.88,1.96,0.5,1.85,2.05,0.5
3,2,3,0,1.9,3.25,3.5,1.75,3.4,4.2,1.8,3.3,4.5,1.8,3.1,3.8,1.91,3.2,3.5,1.83,3.3,4.0,1.8,3.1,4.0,1.65,2.05,1.61,2.25,1.5,2.45,-0.25,1.8,2.04,-0.5,1.825,2.075,-0.5
0,1,0,0,1.57,3.4,5.5,1.5,3.9,5.6,1.55,3.8,5.85,1.5,3.7,5.0,1.5,3.4,6.0,1.5,3.75,6.0,1.53,3.5,5.5,1.55,2.25,1.61,2.25,2.0,1.8,-1,2.04,1.8,-1.0,2.075,1.825,-1.0
0,1,0,0,1.8,3.25,4.0,1.8,3.4,4.0,1.85,3.35,4.15,1.8,3.1,3.8,1.8,3.25,3.75,1.75,3.4,4.33,1.83,3.2,3.75,1.6,2.15,1.66,2.15,1.85,1.85,-0.5,2.12,1.72,-0.75,2.15,1.75,-0.75
0,2,0,0,1.72,3.25,4.33,1.7,3.5,4.4,1.73,3.4,4.85,1.75,3.2,4.0,1.73,3.4,4.0,1.75,3.4,4.33,1.72,3.2,4.33,1.6,2.15,1.65,2.2,2.1,1.67,-1,1.88,1.96,-0.75,1.875,2.025,-0.75
3,1,1,0,2.37,3.2,2.62,2.3,3.2,2.8,2.47,3.2,2.75,2.4,2.9,2.7,2.4,3.25,2.5,2.4,3.2,2.7,2.37,3.0,2.7,1.71,2.0,1.65,2.2,1.72,2.0,0,2.14,1.7,-0.25,2.15,1.75,-0.25
2,1,0,0,2.75,3.25,2.25,3.1,3.3,2.1,3.1,3.3,2.2,2.9,3.0,2.2,2.75,3.2,2.25,2.8,3.25,2.3,2.8,3.1,2.25,1.6,2.15,1.66,2.15,2.0,1.8,0.25,2.0,1.84,0.25,2.0,1.9,0.25
3,0,1,0,1.9,3.25,3.5,1.9,3.25,3.7,1.95,3.25,3.85,1.9,3.1,3.5,1.91,3.2,3.5,1.91,3.25,3.75,1.95,3.1,3.5,1.65,2.05,1.8,2.0,1.95,1.76,-0.5,,,,1.975,1.925,-0.5
2,0,0,0,1.83,3.25,3.75,1.85,3.3,3.85,1.88,3.35,4.0,1.9,3.1,3.5,1.8,3.25,3.75,1.91,3.25,3.75,1.8,3.1,4.0,1.71,2.0,1.8,2.0,1.65,2.15,-0.25,1.88,1.96,-0.5,1.95,1.95,-0.5
3,0,1,0,2.5,3.2,2.5,2.5,3.3,2.5,2.68,3.2,2.55,2.7,2.9,2.4,2.5,3.25,2.4,2.6,3.2,2.5,2.6,3.1,2.4,1.65,2.05,1.7,2.1,1.95,1.85,0,2.0,1.84,0.0,2.025,1.875,0.0
2,0,0,0,1.9,3.25,3.5,1.9,3.25,3.7,1.95,3.25,3.85,1.9,3.1,3.5,1.91,3.25,3.4,1.95,3.25,3.6,2.0,3.1,3.3,1.6,2.15,1.66,2.15,1.95,1.76,-0.5,1.86,1.98,-0.5,1.875,2.025,-0.5
1,0,1,0,2.37,3.2,2.62,2.55,3.15,2.55,2.5,3.2,2.75,2.5,3.0,2.5,2.4,3.25,2.5,2.5,3.1,2.62,2.37,3.1,2.62,1.85,1.85,1.85,1.95,1.9,1.9,0,1.96,1.88,0.0,1.975,1.925,0.0
0,2,0,1,1.61,3.6,4.5,1.65,3.5,4.8,1.65,3.6,5.1,1.6,3.4,4.6,1.62,3.5,4.5,1.57,3.6,5.5,1.61,3.3,5.0,1.55,2.25,1.61,2.25,2.05,1.75,-1,2.06,1.78,-1.0,2.1,1.8,-1.0
0,2,0,0,4.33,3.25,1.72,4.4,3.5,1.7,4.65,3.4,1.75,4.0,3.2,1.75,4.0,3.4,1.73,4.33,3.4,1.73,4.2,3.25,1.72,1.65,2.05,1.65,2.2,1.9,1.9,0.75,1.92,1.92,0.75,1.975,1.925,0.75
