FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
1,1,0,1,1.4,3.75,7.0,1.44,3.9,7.45,1.35,4.0,7.0,1.4,3.75,7.0,1.4,3.75,7.5,1.4,3.75,7.5,1.4,3.6,7.5,1.6,2.1,,
0,0,0,0,1.444,3.6,6.5,1.44,3.8,7.5,1.4,3.9,6.0,1.44,3.5,7.0,1.4,3.75,7.5,1.4,3.75,7.5,1.4,3.75,7.0,1.6,2.1,,
1,4,1,1,2.25,3.2,2.75,2.4,3.25,3.0,2.4,3.0,2.6,2.4,3.25,2.5,2.38,3.1,2.7,2.375,3.1,2.7,2.3,3.1,2.75,1.7,2.0,,
1,0,1,0,1.8,3.3,3.75,1.83,3.3,4.2,1.8,3.1,3.8,1.83,3.2,3.75,1.8,3.25,4.0,1.8,3.25,4.0,1.72,3.25,4.2,1.7,1.97,,
0,1,0,0,3.2,3.2,2.0,3.35,3.3,2.01,3.1,3.0,2.1,3.2,3.2,2.0,3.25,3.25,2.0,3.4,3.25,2.0,3.2,3.2,2.0,1.8,1.8,,
1,1,0,0,1.444,3.6,6.5,1.45,3.7,7.0,1.45,3.8,5.4,1.44,3.6,6.5,1.44,3.6,7.0,1.444,3.75,7.0,1.44,3.6,6.5,1.65,1.95,,
3,1,2,0,2.3,3.2,2.625,2.3,3.3,2.75,2.2,3.0,2.9,2.38,3.2,2.6,2.2,3.25,2.8,2.3,3.2,2.8,2.4,3.1,2.6,1.65,1.95,,
2,2,1,1,2.0,3.2,3.2,2.01,3.3,3.35,2.0,3.1,3.2,1.91,3.2,3.5,2.1,3.25,3.0,2.1,3.2,3.2,2.1,3.1,3.1,1.9,1.7,,
0,1,0,1,1.6669999999999998,3.4,4.333,1.76,3.3,4.4,1.7,3.2,4.2,1.73,3.2,4.33,1.67,3.4,4.5,1.7,3.4,4.5,1.66,3.3,4.5,1.65,1.95,,
3,1,3,1,1.6669999999999998,3.3,4.5,1.66,3.45,4.85,1.65,3.3,4.4,1.57,3.5,5.0,1.67,3.4,4.5,1.6669999999999998,3.4,4.75,1.61,3.3,5.0,1.65,1.95,,
