FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
1,0,1,0,2.25,3.2,2.8,2.3,3.2,2.8,2.35,3.2,2.9,2.3,3.0,2.7,2.38,3.0,2.75,2.38,3.1,2.8,2.2,3.1,2.87,2.0,1.71,2.05,1.75,1.75,2.0,0.0,2.1,1.74,-0.25,2.125,1.775,-0.25
2,1,1,0,1.9,3.25,3.5,1.9,3.25,3.75,1.95,3.35,3.75,1.85,3.1,3.6,1.8,3.2,4.0,1.91,3.25,3.75,2.0,3.1,3.3,2.05,1.65,2.15,1.66,1.95,1.77,-0.5,2.0,1.84,-0.5,2.025,1.875,-0.5
2,1,1,0,1.8,3.25,4.0,1.9,3.25,3.75,1.83,3.25,4.5,1.8,3.1,3.8,1.83,3.2,3.75,1.85,3.25,4.0,1.83,3.2,3.75,2.05,1.65,2.1,1.7,1.83,1.89,-0.5,1.8,2.04,-0.5,1.825,2.075,-0.5
4,0,1,0,1.66,3.4,4.5,1.7,3.4,4.55,1.67,3.5,5.25,1.65,3.2,4.6,1.62,3.25,5.0,1.57,3.4,6.0,1.66,3.3,4.5,2.0,1.71,2.1,1.7,1.75,2.0,-0.75,2.12,1.72,-1.0,1.8,2.1,-0.75
1,1,1,1,4.0,3.25,1.9,4.0,3.2,1.85,4.0,3.3,1.9,3.5,3.1,1.9,4.0,3.2,1.8,3.75,3.25,1.91,3.6,3.1,1.9,1.79,1.9,1.95,1.85,1.81,1.9,0.5,2.0,1.84,0.5,2.025,1.875,0.5
1,1,0,0,1.8,3.1,5.0,1.7,3.4,4.55,1.75,3.3,4.85,1.7,3.2,4.2,1.67,3.2,5.0,1.73,3.4,4.5,1.66,3.3,4.5,1.9,1.79,2.05,1.75,2.0,1.8,-0.75,2.0,1.84,-0.75,2.1,1.8,-0.75
1,1,1,1,1.83,3.25,3.75,1.85,3.25,3.95,1.95,3.25,3.85,1.85,3.1,3.6,1.8,3.2,4.0,1.91,3.2,3.8,1.9,3.0,3.75,1.95,1.75,2.15,1.66,1.95,1.76,-0.5,1.98,1.86,-0.5,2.025,1.875,-0.5
0,0,0,0,2.0,3.25,3.25,2.0,3.25,3.4,2.1,3.25,3.4,2.0,3.1,3.2,1.83,3.0,4.0,2.1,3.2,3.25,1.9,3.1,3.6,2.05,1.65,2.15,1.66,1.8,2.0,-0.25,1.84,2.0,-0.25,1.8,2.1,-0.25
0,0,0,0,1.44,3.75,6.5,1.4,4.0,7.25,1.47,3.75,7.5,1.45,3.8,5.4,1.4,3.75,7.0,1.44,3.75,7.0,1.44,3.6,6.5,1.85,1.85,2.0,1.8,2.03,1.77,-1.25,2.06,1.78,-1.25,2.075,1.825,-1.25
1,2,0,1,2.0,3.25,3.25,2.0,3.25,3.4,2.1,3.2,3.4,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.2,3.25,1.95,3.1,3.5,2.0,1.71,2.1,1.7,1.8,2.0,-0.25,1.8,2.04,-0.25,1.85,2.05,-0.25
0,2,0,0,2.37,3.2,2.62,2.35,3.2,2.75,2.5,3.2,2.75,2.4,2.9,2.7,2.25,3.2,2.75,2.4,3.2,2.7,2.3,3.1,2.75,1.95,1.75,2.15,1.66,1.85,1.95,0.0,1.84,2.0,0.0,1.85,2.05,0.0
0,1,0,1,1.83,3.25,3.75,1.8,3.3,4.1,1.85,3.3,4.25,1.8,3.1,3.8,1.8,3.25,3.75,1.75,3.3,4.5,1.8,3.25,3.8,1.85,1.85,2.05,1.75,1.85,1.86,-0.5,1.8,2.04,-0.5,1.8,2.1,-0.5
2,0,1,0,1.2,5.0,12.0,1.2,5.5,11.5,1.2,5.85,13.0,1.2,5.0,10.0,1.2,5.0,11.0,1.2,5.5,12.0,1.16,5.5,12.0,1.6,2.15,1.61,2.25,1.9,1.9,-1.75,1.94,1.9,-1.75,1.975,1.925,-1.75
3,0,2,0,2.25,3.25,2.75,2.0,3.25,3.4,2.35,3.25,2.9,2.3,2.9,2.8,2.25,3.2,2.75,2.3,3.2,2.88,2.3,3.1,2.75,1.9,1.79,2.1,1.7,2.05,1.75,-0.25,2.12,1.72,-0.25,1.725,2.175,0.0
