FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
1,2,0,2,1.7269999999999999,3.4,4.0,1.74,3.4,4.1,1.8,3.2,3.7,1.7,3.4,4.2,1.65,3.3,4.5,1.65,1.95
1,1,0,0,2.25,3.25,2.7,2.25,3.25,2.78,2.3,3.2,2.5,2.25,3.25,2.7,2.2,3.2,2.7,1.7,1.9
0,3,0,1,2.375,3.1,2.625,2.38,3.35,2.68,2.4,3.2,2.4,2.375,3.25,2.5,2.3,3.3,2.5,1.77,1.96
3,2,0,2,3.4,3.25,1.909,3.55,3.25,1.9,3.4,3.2,1.9,3.4,3.25,1.909,3.1,3.1,2.05,1.65,1.95
0,3,0,2,4.0,3.4,1.7269999999999999,3.5,3.25,1.95,2.9,3.2,2.1,4.0,3.3,1.75,3.9,3.3,1.75,1.6,2.05
1,3,0,3,1.7269999999999999,3.4,4.0,1.78,3.4,4.0,1.7,3.3,4.0,1.7269999999999999,3.4,4.0,1.7,3.3,4.1,1.55,2.15
0,3,0,1,4.333,3.4,1.6669999999999998,4.35,3.35,1.7,4.6,3.4,1.6,4.333,3.4,1.6669999999999998,4.1,3.3,1.7,1.4,2.5
1,0,1,0,2.25,3.2,2.7,2.3,3.2,2.7,2.2,3.1,2.8,2.2,3.2,2.8,2.15,3.1,2.9,1.7,1.9
1,0,0,0,3.75,3.25,1.8,3.55,3.25,1.9,3.5,3.2,1.85,3.6,3.4,1.8,3.5,3.25,1.85,1.55,2.15
3,2,1,0,1.615,3.5,4.5,1.58,3.6,5.15,1.7,3.3,4.0,1.615,3.5,4.5,1.7,3.3,4.1,1.7,1.9
0,2,0,0,1.8,3.25,3.75,1.8,3.35,3.8,1.8,3.3,3.6,1.8,3.3,3.75,1.75,3.3,3.9,1.65,1.95
2,0,0,0,1.4,3.75,7.0,1.48,3.67,6.7,1.5,3.7,5.0,1.444,3.6,6.5,1.45,3.6,6.0,1.72,1.92
2,0,0,0,2.0,3.2,3.2,2.0,3.25,3.25,2.2,3.1,2.8,2.1,3.2,3.0,2.0,3.2,3.1,1.5,2.25
1,0,0,0,1.615,3.5,4.5,1.6,3.4,5.1,1.6,3.4,4.6,1.615,3.25,5.0,1.65,3.3,4.5,1.7,1.9
2,1,2,0,1.286,4.5,8.0,1.31,4.5,8.0,1.25,4.5,9.0,1.3,4.333,8.0,1.3,4.3,7.5,1.5,2.25
2,1,1,1,1.286,4.5,8.0,1.3,4.5,8.0,1.25,4.5,9.0,1.3,4.333,8.0,1.3,4.5,7.0,1.5,2.25
2,1,1,0,1.444,3.5,7.0,1.4,3.85,7.0,1.4,3.9,6.0,1.4,3.75,7.0,1.45,3.6,6.0,1.55,2.15
1,1,0,0,2.375,3.25,2.5,2.45,3.15,2.55,2.4,3.2,2.4,2.375,3.25,2.5,2.4,3.25,2.45,1.65,1.95
1,1,0,0,1.444,3.75,6.0,1.45,3.85,6.0,1.45,3.8,5.4,1.444,3.6,6.5,1.45,3.8,5.5,1.6,2.05
1,1,1,0,1.909,3.25,3.4,1.85,3.4,3.81,1.85,3.2,3.5,1.85,3.25,3.6,1.85,3.25,3.5,1.65,1.95
1,1,0,1,6.0,3.75,1.444,5.75,3.65,1.5,5.4,3.8,1.45,6.0,3.75,1.444,5.6,3.75,1.45,,
3,1,0,0,3.4,3.25,1.909,3.46,3.35,1.9,3.4,3.2,1.9,3.4,3.4,1.85,3.5,3.25,1.85,1.6,2.0
3,1,1,0,2.2,3.25,2.75,2.05,3.25,3.1,1.9,3.2,3.4,2.1,3.25,2.9,2.15,3.3,2.7,,
2,0,1,0,2.25,3.2,2.75,2.2,3.25,2.8,2.1,3.2,2.9,2.2,3.25,2.75,2.2,3.25,2.7,1.6,2.0
0,0,0,0,1.615,3.5,4.5,1.6,3.55,4.75,1.6,3.4,4.6,1.6,3.5,4.6,1.6,3.5,4.5,1.65,1.95
1,3,1,2,3.2,3.2,2.0,3.3,3.3,1.95,3.4,3.2,1.9,3.4,3.25,1.909,2.9,3.2,2.1,1.6,2.0
2,1,1,0,2.2,3.25,2.75,2.15,3.25,2.9,2.1,3.2,2.9,2.2,3.25,2.75,2.1,3.2,2.9,1.65,1.95
3,2,1,2,2.5,3.25,2.375,2.61,3.38,2.4,2.5,3.2,2.3,2.5,3.25,2.375,2.45,3.25,2.4,1.7,1.95
