FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
1,2,1,1,1.8,3.0,4.333,1.81,3.15,4.35,1.9,2.9,3.8,1.8,3.2,4.0,1.85,3.0,4.333,1.9,3.0,3.75,2.15,1.55
0,1,0,1,2.25,2.875,3.0,2.28,2.9,3.15,2.3,2.8,2.9,,,,2.25,3.0,3.0,2.2,2.8,3.2,2.05,1.6
1,0,0,0,1.8330000000000002,3.0,4.0,1.85,3.1,4.15,1.85,3.1,3.6,,,,1.85,3.0,4.2,1.83,3.0,4.0,1.95,1.65
1,3,0,1,2.4,3.0,2.7,2.55,2.95,2.72,2.6,2.7,2.7,,,,2.5,2.875,2.75,2.6,2.8,2.6,2.1,1.55
2,1,0,0,2.2,2.8,3.2,2.1,3.0,3.4,2.1,2.8,3.3,,,,2.1,3.0,3.3,2.1,2.8,3.4,1.9,1.7
1,3,0,1,1.7269999999999999,2.875,5.0,1.7,3.2,5.0,1.6,3.4,4.6,,,,1.6669999999999998,3.2,5.0,1.57,3.3,5.5,,
1,0,1,0,1.7269999999999999,3.2,4.333,1.77,3.1,5.0,1.8,3.0,4.0,,,,1.7269999999999999,3.2,4.5,1.66,3.1,5.0,1.9,1.7
1,0,0,0,2.625,2.875,2.5,2.55,2.95,2.7,2.6,2.8,2.6,,,,2.6,2.9,2.6,2.7,2.8,2.5,1.9,1.7
3,2,1,0,2.0,3.0,3.4,2.05,2.95,3.6,2.1,2.7,3.5,,,,2.0,3.0,3.5,2.0,2.87,3.6,2.05,1.6
1,1,0,0,1.444,3.6,6.5,1.43,3.6,7.5,1.4,3.9,6.0,,,,1.4,3.75,7.5,1.44,3.4,7.0,1.95,1.65
3,1,2,1,1.5,3.4,6.0,1.5,3.5,6.5,1.55,3.4,5.0,1.5,3.4,6.0,1.53,3.4,6.0,1.5,3.4,6.0,2.0,1.65
2,1,1,0,2.5,3.1,2.5,2.5,3.11,2.8,2.7,2.9,2.4,2.5,2.88,2.62,2.5,3.0,2.63,2.62,2.9,2.5,1.95,1.65
2,3,0,1,1.8330000000000002,3.2,3.75,1.83,3.1,4.5,1.85,3.0,3.8,1.8,2.88,4.5,1.85,3.1,4.0,1.8,3.0,4.2,1.9,1.7
0,0,0,0,1.8,3.1,4.0,1.75,3.15,4.75,1.8,3.0,4.0,1.83,3.0,4.0,1.7,3.1,4.75,1.8,2.9,4.5,2.05,1.6
2,1,1,1,1.5,3.4,6.0,1.51,3.5,6.75,1.55,3.4,5.0,1.62,3.25,5.0,1.5,3.6,6.0,1.5,3.4,6.0,1.85,1.75
1,1,1,0,2.5,3.1,2.5,2.65,3.11,2.5,2.7,2.9,2.4,2.5,2.88,2.62,2.6,3.0,2.5,2.62,2.9,2.5,2.05,1.6
1,4,1,3,,,,2.3,3.1,3.1,2.3,2.9,2.8,2.25,3.0,2.88,2.3,2.875,3.0,2.2,2.9,3.1,1.95,1.65
4,0,1,0,2.0,2.875,3.6,1.95,3.05,3.85,1.85,3.0,3.8,1.83,3.0,4.0,2.0,3.0,3.5,2.1,3.1,3.1,2.05,1.6
1,0,0,0,1.909,3.0,3.75,1.9,3.25,3.75,1.85,3.0,3.8,2.0,3.0,3.4,2.0,3.1,3.4,1.9,3.1,3.6,1.95,1.65
1,1,0,0,2.8,2.875,2.375,2.65,3.1,2.55,2.7,2.9,2.4,2.62,2.88,2.5,2.7,2.9,2.5,2.62,2.9,2.5,1.9,1.7
1,0,0,0,2.25,2.875,3.0,2.3,3.1,3.0,2.1,3.0,3.1,,,,2.3,3.0,3.0,2.3,2.9,2.9,2.05,1.6
1,0,0,0,2.5,2.875,2.625,2.53,3.05,2.9,2.6,2.8,2.6,,,,2.5,2.9,2.75,2.5,2.8,2.7,2.05,1.6
3,0,1,0,2.3,3.0,2.8,2.4,3.1,2.95,2.4,2.8,2.8,,,,2.375,3.1,2.75,2.37,2.8,2.87,1.9,1.7
0,2,0,1,2.375,2.875,2.8,2.4,3.05,2.8,2.5,2.8,2.7,,,,2.4,2.9,2.9,2.4,2.75,2.9,1.95,1.65
2,0,0,0,1.7269999999999999,3.2,4.333,1.72,3.3,4.75,1.85,3.1,3.6,,,,1.7269999999999999,3.2,4.75,1.72,3.2,4.33,1.9,1.7
0,1,0,0,2.8,3.0,2.3,2.9,3.1,2.4,2.8,2.9,2.3,,,,3.0,2.875,2.375,2.87,2.8,2.37,1.9,1.7
2,1,1,1,1.8,3.1,4.0,1.9,3.05,4.05,2.0,2.8,3.6,,,,1.909,3.0,4.0,1.9,3.0,3.75,1.9,1.7
1,1,1,0,1.8,3.1,4.0,1.88,3.15,4.1,1.85,3.1,3.6,,,,1.85,3.1,4.0,1.8,3.0,4.2,1.8,1.8
2,2,1,1,1.5,3.4,6.0,1.52,3.55,6.5,1.5,3.5,5.4,,,,1.5,3.5,6.5,1.44,3.4,7.0,1.85,1.75
5,0,4,0,1.6669999999999998,3.1,5.0,1.6,3.25,5.9,1.55,3.3,5.2,,,,1.6,3.2,6.0,1.57,3.1,6.0,1.8,1.8
3,1,2,0,1.8330000000000002,3.0,4.0,1.82,3.15,4.33,1.75,3.2,4.0,1.8,3.2,4.0,1.8,3.1,4.2,1.8,3.1,4.0,2.05,1.65
3,1,1,0,1.909,3.0,3.75,1.97,3.0,3.75,1.9,3.0,3.6,1.83,3.0,4.0,1.909,3.1,3.75,1.9,3.0,3.75,2.05,1.65
1,1,0,1,1.571,3.25,5.5,1.59,3.45,6.0,1.55,3.4,5.0,1.57,3.25,5.5,1.5330000000000001,3.4,6.0,1.53,3.4,5.5,2.05,1.65
3,0,1,0,1.909,3.0,3.75,1.87,3.15,4.0,1.85,3.0,3.8,1.83,3.2,3.75,1.9,3.0,4.0,1.9,3.0,3.75,2.05,1.67
1,1,0,0,1.8,3.1,4.0,1.8,3.15,4.35,1.75,3.2,4.0,1.8,3.2,4.0,1.75,3.1,4.5,1.8,3.0,4.2,2.05,1.65
0,0,0,0,2.25,3.0,2.875,2.2,3.1,3.0,2.2,3.0,2.9,2.1,3.2,3.0,2.1,3.0,3.2,2.2,3.0,3.0,2.05,1.65
1,3,0,1,1.7269999999999999,3.1,4.5,1.75,3.25,4.5,1.7,3.1,4.4,1.73,3.2,4.33,1.75,3.1,4.5,1.72,3.1,4.5,2.05,1.65
2,0,1,0,2.25,3.0,2.875,2.25,3.05,3.15,2.3,2.8,2.9,2.25,2.88,3.0,2.3,3.0,2.9,2.25,2.87,3.0,2.05,1.65
1,2,1,2,2.7,3.0,2.375,2.92,2.9,2.4,2.9,2.8,2.3,2.8,2.88,2.38,2.9,3.0,2.3,2.87,2.8,2.4,2.05,1.65
1,0,1,0,1.7269999999999999,3.1,4.5,1.78,3.25,4.65,1.75,3.2,4.0,1.73,3.2,4.33,1.7,3.2,4.75,1.66,3.1,5.0,2.05,1.65
2,2,1,2,2.1,3.0,3.2,2.08,3.1,3.65,2.0,2.9,3.4,2.0,3.0,3.4,2.0,3.0,3.5,2.0,3.0,3.4,2.05,1.8
0,1,0,1,2.8,3.0,2.3,2.92,3.0,2.47,2.8,2.9,2.3,3.0,3.0,2.2,2.9,3.0,2.3,2.9,2.9,2.3,1.95,1.65
1,0,0,0,1.444,3.6,6.5,1.55,3.65,6.42,1.5,3.5,5.4,1.57,3.25,5.5,1.5,3.4,6.5,1.53,3.25,6.0,1.9,1.7
0,1,0,0,1.909,3.0,3.75,1.98,3.05,3.95,2.0,2.8,3.6,1.8,3.2,4.0,1.909,3.1,3.75,1.83,3.0,4.0,1.9,1.7
1,1,0,1,2.25,2.875,3.0,2.32,3.0,3.12,2.1,3.0,3.1,2.37,3.0,2.75,2.3,2.9,3.0,2.25,2.87,3.0,2.05,1.6
1,0,0,0,2.0,2.875,3.6,2.05,3.0,3.65,2.0,2.8,3.6,2.0,3.0,3.4,2.0,3.0,3.6,1.9,3.0,3.75,1.95,1.65
2,2,1,1,1.909,3.0,3.75,2.02,3.1,3.7,1.85,3.0,3.8,2.0,3.0,3.4,1.909,3.1,3.75,1.9,3.0,3.75,2.05,1.6
0,0,0,0,1.909,3.0,3.75,2.06,3.0,3.6,2.1,2.8,3.3,2.1,3.0,3.2,2.0,3.0,3.6,2.1,2.87,3.3,2.05,1.6
3,0,2,0,1.8330000000000002,3.0,4.0,1.85,3.0,4.35,1.85,3.0,3.8,1.83,3.2,3.75,1.8330000000000002,3.1,4.0,1.83,3.0,4.0,1.95,1.65
