FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
2,2,0,1,4.5,3.2,1.72,4.75,3.2,1.7,4.2,3.2,1.7,4.0,3.2,1.8,4.5,3.0,1.8,4.5,3.0,1.8,4.5,3.1,1.72,1.71,2.0,1.8,1.9,1.8,2.0,0.75,1.85,2.0,0.75,2.1,1.8,0.5
3,0,1,0,1.22,5.0,10.0,1.22,5.0,11.0,1.25,4.5,9.0,1.222,5.0,10.0,1.22,5.0,10.0,1.22,5.0,10.0,1.2,5.0,11.0,1.5,2.35,1.72,2.0,1.9,1.9,-1.5,2.0,1.85,-1.5,1.95,1.95,-1.5
2,0,2,0,2.4,2.9,2.8,2.5,2.95,2.7,2.5,2.8,2.7,2.375,3.0,2.75,2.5,2.88,2.75,2.5,2.87,2.75,2.37,2.9,2.8,2.0,1.71,1.9,1.8,1.8,2.0,0.0,1.75,2.1,0.0,1.8,2.1,0.0
1,1,0,1,1.5,3.4,6.5,1.51,3.3,6.75,1.45,3.8,5.4,1.4,3.75,7.0,1.44,3.5,7.0,1.44,3.6,7.0,1.44,3.5,7.0,1.65,2.05,1.8,1.9,1.9,1.9,-1.0,1.85,2.0,-1.0,1.925,1.975,-1.0
3,0,0,0,1.16,5.5,13.0,1.2,5.0,13.0,1.2,5.0,10.0,1.2,5.0,11.0,1.17,5.5,13.0,1.16,5.5,13.0,1.16,5.5,12.0,1.4,2.65,1.66,2.1,1.8,2.0,-1.75,1.9,1.95,-2.0,1.775,2.125,-1.75
2,1,0,0,1.8,3.0,4.33,1.77,3.05,4.6,1.9,3.0,3.6,1.8330000000000002,3.2,3.75,1.8,3.0,4.33,1.8,3.1,4.2,1.83,3.0,4.0,1.95,1.75,1.9,1.8,1.78,2.03,-0.5,2.05,1.8,-0.75,1.8,2.1,-0.5
0,3,0,2,3.0,3.0,2.25,3.1,3.0,2.25,3.0,2.9,2.2,2.8,2.875,2.375,3.0,2.88,2.3,3.0,2.87,2.3,2.7,3.0,2.37,2.0,1.71,2.0,1.72,1.9,1.9,0.25,1.9,1.95,0.25,1.95,1.95,0.25
0,3,0,0,2.1,3.0,3.25,2.15,3.0,3.3,2.1,2.8,3.3,2.1,3.0,3.2,2.1,2.88,3.4,2.1,2.87,3.4,2.1,2.87,3.3,2.15,1.6,2.0,1.72,1.9,1.9,-0.25,1.9,1.95,-0.25,1.85,2.05,-0.25
1,3,0,1,2.62,2.8,2.62,2.65,2.8,2.7,2.6,2.8,2.6,2.5,2.875,2.625,2.6,2.88,2.6,2.6,2.87,2.6,2.6,2.8,2.6,2.0,1.71,1.9,1.8,1.9,1.9,0.0,1.95,1.9,0.0,1.975,1.925,0.0
2,1,1,1,1.3,4.33,9.0,1.35,4.0,9.0,1.3,4.0,8.5,1.364,3.6,9.0,1.3,4.33,8.5,1.3,4.33,8.5,1.3,4.2,8.5,1.85,1.85,1.72,2.0,1.8,2.0,-1.25,2.05,1.8,-1.5,1.8,2.1,-1.25
1,0,0,0,1.61,3.2,5.5,1.71,3.15,5.0,1.7,3.1,4.4,1.6669999999999998,3.25,4.5,1.62,3.2,5.5,1.61,3.2,5.5,1.57,3.3,5.5,1.65,2.05,1.72,2.0,2.0,1.8,-0.75,2.0,1.85,-0.75,1.95,1.95,-0.75
1,4,1,1,2.1,3.0,3.25,2.1,3.0,3.4,2.1,2.8,3.3,2.0,3.0,3.4,2.0,3.0,3.5,2.0,3.0,3.5,2.2,2.87,3.1,2.0,1.71,1.9,1.8,1.85,1.95,-0.25,,,,2.125,1.775,-0.5
1,0,1,0,1.61,3.2,5.5,1.71,3.15,5.0,1.65,3.2,4.6,1.7269999999999999,3.2,4.333,1.67,3.2,5.0,1.66,3.2,5.0,1.66,3.1,5.0,1.85,1.85,1.8,1.9,1.85,1.95,-0.75,1.9,1.95,-0.75,1.85,2.05,-0.75
0,0,0,0,1.9,2.9,4.0,1.85,3.0,4.35,1.85,3.0,3.8,1.8330000000000002,3.0,4.0,1.8,3.0,4.33,1.8,3.0,4.33,1.9,2.87,4.0,1.95,1.75,1.9,1.8,1.85,1.95,-0.5,1.85,2.0,-0.5,1.9,2.0,-0.5
0,0,0,0,4.33,3.0,1.8,4.0,3.2,1.85,3.6,3.1,1.85,4.0,3.0,1.8330000000000002,4.33,3.25,1.73,4.33,3.2,1.75,4.2,3.0,1.8,1.75,1.95,1.83,1.83,1.95,1.85,0.5,1.95,1.9,0.5,1.95,1.95,0.5
