FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
0,1,0,0,2.25,3.2,3.1,2.5,3.15,2.6,2.3,3.2,3.0,2.2,3.0,2.9,2.1,3.2,3.0,2.2,3.2,3.0,2.25,3.1,2.8,2.0,1.71,2.15,1.66,1.7,2.05,0.0,2.08,1.76,-0.25,2.05,1.85,-0.25
2,2,0,1,2.37,3.25,2.87,2.25,3.1,3.0,2.4,3.15,2.9,2.2,3.0,2.9,2.38,3.0,2.75,2.3,3.2,2.88,2.37,3.0,2.7,2.0,1.71,2.05,1.75,1.7,2.05,0.0,2.0,1.84,-0.25,2.025,1.875,-0.25
0,0,0,0,2.37,3.25,2.87,2.25,3.1,3.0,2.35,3.15,2.95,2.2,3.0,2.9,2.25,3.2,2.75,2.3,3.2,2.88,2.37,3.1,2.62,1.95,1.75,2.05,1.75,2.05,1.7,-0.25,2.08,1.76,-0.25,1.85,2.05,0.0
2,1,0,0,2.75,3.2,2.5,2.7,3.1,2.45,2.7,3.15,2.55,2.5,3.0,2.5,2.75,3.2,2.25,2.6,3.2,2.5,2.62,2.9,2.5,2.0,1.71,2.0,1.8,2.2,1.6,-0.25,2.06,1.78,0.0,2.075,1.825,0.0
2,2,1,1,2.62,3.2,2.6,2.7,3.2,2.4,2.75,3.2,2.5,2.5,3.0,2.5,2.5,3.2,2.5,2.6,3.2,2.5,2.6,3.1,2.4,1.9,1.79,2.05,1.75,2.2,1.6,-0.25,1.96,1.88,0.0,2.025,1.875,0.0
1,0,0,0,1.8,3.1,5.0,1.8,3.2,4.3,1.8,3.3,4.5,1.8,3.1,3.8,1.67,3.25,4.5,1.8,3.2,4.33,1.8,3.1,4.0,2.0,1.75,2.1,1.7,1.5,2.45,-0.25,1.88,1.96,-0.5,1.85,2.05,-0.5
1,1,0,1,1.4,4.0,9.0,1.4,4.0,7.25,1.4,4.0,9.0,1.35,4.0,7.0,1.36,3.75,8.0,1.36,4.0,8.0,1.36,3.75,8.0,1.71,2.0,1.8,2.0,1.55,2.3,-1.0,1.76,2.08,-1.25,1.775,2.125,-1.25
2,0,0,0,2.62,3.2,2.6,2.6,3.1,2.55,2.7,3.15,2.55,2.7,3.0,2.3,2.75,3.2,2.25,2.6,3.2,2.5,2.6,3.1,2.4,1.9,1.79,2.05,1.75,2.3,1.55,-0.25,,,,2.05,1.85,0.0
3,1,2,1,1.3,5.0,9.5,1.3,4.5,9.0,1.3,4.5,11.0,1.33,4.0,7.5,1.25,4.5,10.0,1.29,4.75,9.0,1.28,4.33,8.5,1.6,2.15,1.75,2.05,1.77,1.78,-1.5,2.04,1.8,-1.5,2.075,1.825,-1.5
0,0,0,0,5.5,3.2,1.72,4.3,3.35,1.75,4.5,3.3,1.8,4.0,3.2,1.75,4.33,3.2,1.73,4.5,3.4,1.73,4.0,3.0,1.83,1.9,1.79,2.0,1.8,1.99,1.75,0.5,2.12,1.72,0.5,2.125,1.775,0.5
0,4,0,0,2.5,3.2,2.75,2.4,3.1,2.75,2.55,3.25,2.6,2.5,3.0,2.5,2.38,3.2,2.6,2.4,3.2,2.7,2.5,2.9,2.62,2.0,1.71,2.05,1.75,2.2,1.6,-0.25,1.84,2.0,0.0,1.85,2.05,0.0
1,0,1,0,1.61,3.6,5.5,1.55,3.45,6.0,1.63,3.4,6.0,1.6,3.4,4.6,1.57,3.5,5.0,1.57,3.6,5.5,1.61,3.3,5.0,1.85,1.85,1.9,1.9,2.2,1.6,-1.25,2.02,1.82,-1.0,2.025,1.875,-1.0
1,0,0,0,1.72,3.4,5.0,1.8,3.2,4.3,1.75,3.3,4.85,1.7,3.2,4.2,1.73,3.2,4.33,1.73,3.25,4.75,1.7,3.2,4.5,1.95,1.75,2.1,1.7,1.75,1.99,-0.5,1.74,2.1,-0.5,1.775,2.125,-0.5
2,4,2,0,3.4,3.25,2.1,3.2,3.2,2.1,3.25,3.25,2.15,3.1,3.0,2.1,3.0,3.2,2.1,3.2,3.2,2.1,3.1,3.0,2.15,1.9,1.79,2.05,1.75,2.0,1.72,0.25,1.78,2.06,0.5,1.775,2.125,0.5
1,0,1,0,5.5,3.2,1.72,4.5,3.25,1.75,4.7,3.25,1.77,4.4,3.3,1.65,4.5,3.5,1.62,5.0,3.4,1.67,4.5,3.3,1.66,2.05,1.65,2.1,1.7,1.99,1.75,0.5,2.18,1.74,0.5,2.125,1.775,0.5
0,0,0,0,2.1,3.25,3.4,2.05,3.05,3.5,2.15,3.25,3.3,1.9,3.1,3.5,2.1,3.2,3.0,2.1,3.2,3.2,2.1,3.0,3.2,2.0,1.71,2.05,1.75,1.8,1.9,-0.25,2.12,1.72,-0.5,1.85,2.05,-0.25
1,1,0,1,2.75,3.2,2.5,2.5,3.15,2.6,2.65,3.25,2.5,2.5,3.0,2.5,2.5,3.2,2.5,2.7,3.2,2.4,2.62,2.9,2.5,1.85,1.85,1.9,1.9,2.6,1.45,-0.25,2.06,1.78,0.0,2.1,1.8,0.0
1,0,0,0,2.6,3.2,2.62,2.6,3.15,2.5,2.6,3.25,2.55,2.5,3.0,2.5,2.6,3.2,2.38,2.6,3.2,2.5,2.4,3.1,2.6,2.05,1.71,2.1,1.7,1.2,2.55,0.5,,,,2.0,1.9,0.0
2,0,1,0,1.8,3.3,4.5,1.7,3.3,4.75,1.83,3.25,4.5,1.75,3.2,4.0,1.67,3.25,4.5,1.8,3.2,4.33,1.83,3.0,4.0,1.9,1.79,2.0,1.8,1.83,1.89,-0.5,1.72,2.12,-0.5,1.75,2.15,-0.5
4,0,2,0,1.28,5.0,10.0,1.3,4.5,9.0,1.33,4.5,9.5,1.35,4.0,7.0,1.25,4.5,10.0,1.3,4.5,9.5,1.28,4.33,8.5,1.9,1.79,1.95,1.85,1.85,1.7,-1.5,2.06,1.78,-1.5,2.05,1.85,-1.5
