FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA
5,0,2,0,1.9,3.2,3.6,1.9,2.9,3.2,1.9,3.2,3.4,1.75,3.15,4.0
1,1,1,0,2.37,3.1,2.7,2.3,2.9,2.5,2.38,3.2,2.5,2.35,3.15,2.55
1,2,1,2,1.65,3.35,4.65,1.7,3.1,3.8,1.7,3.4,4.0,1.7,3.35,4.0
0,1,0,0,2.5,3.15,2.45,2.2,2.9,2.7,2.38,3.2,2.5,2.37,3.3,2.5
1,3,1,2,2.55,3.25,2.4,3.0,2.9,2.0,2.75,3.2,2.2,2.65,3.3,2.2
1,0,1,0,3.4,3.1,2.0,3.0,2.9,2.0,3.3,3.25,1.91,3.25,3.3,1.9
0,2,0,0,1.83,3.25,3.65,1.9,3.0,3.1,1.83,3.4,3.4,1.8,3.4,3.45
2,0,1,0,2.35,3.05,2.7,2.2,2.9,2.7,2.3,3.1,2.7,2.3,3.1,2.65
2,0,0,0,2.0,3.1,3.33,2.0,2.9,3.0,1.91,3.25,3.4,1.95,3.3,3.1
1,3,1,2,2.35,3.15,2.65,2.3,3.0,2.4,2.38,3.25,2.5,2.35,3.35,2.4
1,1,0,0,1.82,3.3,3.7,1.9,3.0,3.1,1.8,3.4,3.6,1.8,3.4,3.5
