FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
5,0,2,0,1.68,3.4,4.4,1.55,3.5,4.8,1.61,3.5,4.5,1.62,3.25,5.0,1.67,3.4,4.33,1.57,3.5,5.0
3,1,1,1,1.6,3.5,4.85,1.6,3.4,4.6,1.57,3.5,5.0,1.5,3.4,6.25,1.62,3.5,4.5,1.57,3.5,5.0
3,0,2,0,1.65,3.4,4.65,1.6,3.4,4.6,1.61,3.25,5.0,1.7,3.3,4.5,1.67,3.25,4.5,1.57,3.5,5.0
1,2,0,0,3.9,3.3,1.8,3.8,3.1,1.8,3.75,3.25,1.8,3.9,3.2,1.8,3.75,3.25,1.8,3.75,3.3,1.8
0,0,0,0,2.35,3.1,2.75,2.3,2.9,2.8,2.4,3.25,2.5,2.4,3.1,2.6,2.38,3.0,2.7,2.3,3.25,2.62
2,0,1,0,1.6,3.4,5.1,1.65,3.3,4.4,1.5,3.6,5.5,1.53,3.5,5.5,1.57,3.5,5.0,1.53,3.4,5.5
5,1,2,1,1.31,4.4,7.7,1.35,4.0,7.0,1.36,4.0,7.0,1.3,4.0,9.0,1.33,4.0,8.0,1.33,4.0,8.0
1,3,0,0,3.1,3.25,2.05,2.8,2.9,2.3,3.0,3.4,2.0,3.2,3.2,2.0,3.2,3.2,2.0,3.0,3.2,2.1
3,0,1,0,1.82,3.25,3.9,1.9,3.1,3.5,1.73,3.4,4.0,1.83,3.1,4.0,1.83,3.2,3.75,1.9,3.25,3.4
1,0,1,0,3.45,3.2,1.95,3.1,3.0,2.1,3.2,3.2,2.0,3.2,3.2,2.0,3.2,3.2,2.0,3.2,3.2,2.0
0,0,0,0,1.6,3.4,5.1,1.65,3.3,4.4,1.67,3.4,4.33,1.6,3.4,5.0,1.62,3.25,5.0,1.57,3.5,5.0
2,0,0,0,2.25,3.1,2.87,2.2,3.0,2.9,2.25,3.2,2.75,2.3,3.2,2.62,2.2,3.0,3.0,2.25,3.2,2.75
0,0,0,0,1.13,6.5,13.0,1.25,4.5,9.0,1.2,5.0,11.0,1.2,5.0,11.0,1.17,5.5,11.0,1.22,5.0,9.5
0,0,0,0,2.5,3.0,2.6,2.5,3.0,2.5,2.62,3.2,2.37,2.5,3.1,2.5,2.5,3.1,2.5,2.5,3.1,2.5
1,1,0,0,2.65,3.1,2.4,2.9,3.0,2.2,2.6,3.2,2.37,2.62,3.1,2.4,2.6,3.1,2.38,2.5,3.25,2.4
4,1,2,1,1.4,3.9,6.8,1.45,3.8,5.4,1.4,3.75,7.0,1.33,4.2,8.0,1.36,4.0,7.0,1.33,4.33,7.0
1,4,0,2,1.75,3.3,4.15,1.75,3.2,4.0,1.73,3.5,3.75,1.75,3.3,4.0,1.8,3.25,3.75,1.72,3.4,4.0
1,2,0,2,2.15,3.1,3.05,2.2,3.0,2.9,2.1,3.25,2.87,2.1,3.2,3.0,2.1,3.1,3.1,2.25,3.25,2.7
3,1,2,0,1.87,3.3,3.6,1.85,3.1,3.6,1.8,3.4,3.6,1.91,3.2,3.5,1.91,3.2,3.5,1.83,3.3,3.6
3,0,0,0,1.73,3.35,4.2,1.9,3.1,3.5,1.67,3.4,4.33,1.8,3.25,3.8,1.73,3.2,4.33,1.66,3.3,4.5
1,3,1,2,1.9,3.2,3.6,2.0,3.1,3.2,1.73,3.4,4.0,1.8,3.3,3.8,1.83,3.2,3.75,1.8,3.4,3.6
0,2,0,2,3.75,3.2,1.86,3.5,3.1,1.9,3.75,3.25,1.8,3.5,3.2,1.9,3.75,3.25,1.8,3.75,3.3,1.8
1,2,0,1,2.2,3.05,3.0,2.3,2.9,2.8,2.2,3.25,2.75,2.2,3.0,3.0,2.1,3.2,3.0,2.1,3.2,3.0
3,0,1,0,1.47,3.65,6.1,1.6,3.4,4.6,1.53,3.5,5.5,1.5,3.5,6.0,1.5,3.4,6.0,1.5,3.6,5.5
1,0,0,0,1.6,3.45,5.0,1.6,3.4,4.6,1.61,3.5,4.5,1.57,3.4,5.2,1.57,3.5,5.0,1.53,3.4,5.5
0,3,0,0,2.7,3.0,2.37,2.7,3.0,2.3,2.62,3.4,2.25,2.62,3.1,2.38,2.6,3.1,2.38,2.62,3.1,2.37
1,1,0,0,1.62,3.4,4.9,1.7,3.2,4.2,1.57,3.5,5.0,1.62,3.3,5.0,1.57,3.25,5.5,1.61,3.3,5.0
2,1,1,1,2.6,2.9,2.3,2.5,3.0,2.5,2.6,3.2,2.37,2.6,3.0,2.5,2.6,3.1,2.38,2.3,3.2,2.62
4,3,3,0,1.55,3.6,5.2,1.6,3.4,4.6,1.61,3.5,4.5,1.53,3.3,6.0,1.53,3.4,5.5,1.57,3.25,5.5
2,1,0,0,2.8,3.05,2.33,2.5,3.0,2.5,2.6,3.2,2.37,2.7,3.2,2.3,2.8,3.2,2.2,2.8,3.2,2.2
3,3,2,1,1.26,4.75,8.7,1.3,4.2,8.0,1.36,3.75,8.0,1.29,4.33,8.5,1.3,4.33,8.0,1.28,4.5,8.0
0,2,0,1,3.25,3.25,2.0,3.2,3.1,2.0,3.2,3.2,2.0,3.25,3.2,2.0,3.2,3.2,2.0,3.2,3.2,2.0
1,0,0,0,1.37,4.1,7.0,1.45,3.8,5.4,1.44,3.5,7.0,1.4,3.8,7.0,1.4,3.75,7.0,1.36,4.0,7.0
4,2,1,1,1.23,5.0,10.0,1.25,4.5,9.0,1.25,4.5,10.0,1.25,4.75,9.0,1.22,5.0,9.0,1.22,5.0,9.5
0,2,0,1,1.8,3.25,4.0,1.9,3.1,3.5,1.8,3.4,3.6,1.8,3.2,4.0,1.8,3.1,4.0,1.83,3.3,3.6
0,3,0,1,3.75,3.25,1.82,3.8,3.1,1.8,4.0,3.4,1.73,4.0,3.4,1.7,3.5,3.4,1.83,4.0,3.4,1.72
0,1,0,0,1.8,3.25,4.0,1.9,3.1,3.5,1.73,3.4,4.0,1.8,3.2,4.0,1.83,3.2,3.75,1.83,3.3,3.6
0,0,0,0,1.75,3.25,4.2,1.85,3.1,3.6,1.8,3.4,3.6,1.95,3.25,3.6,1.73,3.2,4.33,1.8,3.3,3.75
