FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
1,2,1,2,1.7269999999999999,3.25,4.333,1.73,3.35,4.5,1.65,3.3,4.4,1.67,3.4,4.33,1.73,3.25,4.33,1.6669999999999998,3.4,4.75,1.72,3.25,4.2,1.75,1.85,,
3,1,3,0,1.167,5.5,13.0,1.23,5.35,13.5,1.2,5.0,10.0,1.17,5.5,12.0,1.17,5.5,13.0,1.182,6.0,12.0,1.14,6.0,12.0,1.55,2.15,,
0,0,0,0,2.6,3.2,2.4,2.58,3.15,2.63,2.5,3.0,2.5,2.75,3.0,2.38,2.75,3.25,2.25,2.7,3.2,2.4,2.6,3.1,2.4,1.9,1.7,,
1,2,0,1,2.1,3.25,3.0,2.2,3.2,3.0,2.1,3.0,3.1,2.0,3.2,3.2,2.1,3.25,3.0,2.05,3.25,3.2,2.1,3.2,3.0,1.75,1.85,,
1,0,1,0,1.6669999999999998,3.4,4.5,1.76,3.3,4.4,1.8,3.1,3.8,1.73,3.2,4.33,1.67,3.4,4.5,1.7,3.4,4.75,1.72,3.2,4.33,1.85,1.75,,
1,0,0,0,1.7269999999999999,3.25,4.333,1.75,3.3,4.4,1.75,3.2,4.0,1.73,3.2,4.33,1.83,3.25,3.75,1.7269999999999999,3.25,4.5,1.83,3.2,3.75,1.7,1.9,,
3,0,0,0,1.3,4.5,8.0,1.29,4.75,9.5,1.25,4.5,9.0,1.29,4.33,9.0,1.25,4.5,10.0,1.286,4.5,10.0,1.28,4.5,8.0,1.57,2.15,,
5,2,2,1,2.3,3.2,2.7,2.5,3.15,2.75,2.2,3.0,2.9,2.4,3.25,2.5,2.38,3.2,2.62,2.4,3.2,2.7,2.3,3.1,2.75,1.9,1.87,,
2,1,1,1,5.5,3.5,1.5330000000000001,5.25,3.5,1.64,4.4,3.3,1.65,5.0,3.5,1.57,5.5,3.25,1.62,5.5,3.4,1.615,5.5,3.3,1.57,1.8,1.9,,
1,1,1,0,4.333,3.25,1.7269999999999999,4.0,3.35,1.83,3.8,3.1,1.8,4.0,3.2,1.8,4.0,3.2,1.83,4.0,3.4,1.8,3.8,3.25,1.8,1.72,2.01,,
