FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
4,2,2,0,1.47,3.45,6.55,1.55,3.3,4.5,1.44,3.75,6,1.44,3.6,6.5,1.44,3.5,7
1,1,1,0,1.45,3.55,6.6,1.5,3.4,4.7,1.36,3.75,8,1.44,3.5,7,1.44,3.5,7
3,1,1,0,1.95,3.15,3.45,1.9,2.8,3.3,1.73,3.2,4.33,1.8,3.1,4,1.9,3.2,3.5
1,1,0,1,1.45,3.6,6.6,1.45,3.5,5,1.36,3.75,8,1.4,3.75,7,,,
3,0,2,0,1.4,3.8,7,1.4,3.6,5.5,1.36,4,7,1.4,3.75,7,1.36,3.75,8
2,1,0,0,2.4,3,2.7,2.3,2.7,2.7,2.5,2.87,2.62,2.4,3,2.63,2.4,3.1,2.6
3,1,2,1,2.5,2.9,2.7,2.4,2.9,2.4,2.6,3.2,2.37,2.5,3.1,2.5,2.62,3.1,2.37
1,2,1,2,3.1,2.9,2.2,3,2.9,2,3,3.2,2.1,3.25,3.2,2,3,3.2,2.1
0,2,0,1,2.15,2.9,3.2,1.85,3,3.3,2.1,3.2,3,2.1,3.1,3.1,2.1,3.2,2.95
2,2,1,1,2.8,3.1,2.3,2.35,3,2.35,2.75,3.2,2.25,2.8,3.1,2.25,2.62,3.1,2.37
3,1,0,0,1.75,3.2,4,1.6,3.2,4.2,1.8,3.25,3.75,1.62,3.3,5,1.66,3.3,4.5
2,2,1,1,1.9,3,3.8,1.8,3,3.5,2,3,3.4,1.91,3.2,3.5,1.9,3.25,3.4
2,0,0,0,2.1,2.9,3.4,2,2.7,3.2,2,3.2,3.2,2.05,3,3.3,,,
1,0,1,0,1.65,3.25,4.8,1.7,3.1,3.8,1.61,3.25,5,1.62,3.25,5,1.66,3.3,4.5
2,0,1,0,1.35,4.2,7.5,1.4,3.6,5.5,1.33,4,8,1.36,3.75,8,1.35,3.75,8
0,0,0,0,2,2.9,3.6,2,2.8,3.1,2,3,3.4,2,3,3.3,2,3.2,3.2
3,1,2,0,1.4,3.8,6.5,1.5,3.4,4.7,1.36,3.75,8,1.4,3.75,7,1.4,3.75,7
1,1,1,0,2.6,3,2.4,2.2,2.9,2.7,2.6,3.2,2.37,2.75,3.1,2.25,2.6,3.1,2.4
3,2,1,0,1.35,4,8,1.35,3.8,6.2,1.4,3.75,7,1.44,3.6,6.5,1.4,3.75,7
3,0,1,0,1.3,4,9.5,1.25,4.3,8,1.25,4.5,10,1.3,4,8.5,1.25,4.33,11
3,2,0,0,1.75,3.2,4.1,1.8,3,3.5,1.67,3.25,4.5,1.73,3.2,4.33,,,
3,0,2,0,1.65,3,6,1.7,3.1,3.8,1.61,3.5,4.5,1.53,3.25,5,1.66,3.4,4.33
3,2,1,2,1.75,3.2,4.1,1.8,3,3.5,1.73,3.4,4,1.67,3.3,4.5,1.72,3.2,4.33
4,2,2,1,2.3,3,2.75,2.3,2.9,2.5,2.37,3.2,2.6,2.3,3.1,2.75,2.25,3.2,2.75
2,2,2,1,1.9,3.1,3.6,1.9,2.9,3.2,1.91,3.2,3.5,2,3.1,3.3,1.9,3.2,3.5
1,1,1,0,2.2,3.2,2.85,2.1,2.9,2.9,2.2,3.2,2.8,2.1,3.2,3,2.1,3,3.2
2,1,2,0,1.95,3,3.5,1.9,3,3.1,1.73,3.2,4.33,1.8,3.1,4,1.83,3.2,3.75
1,3,1,1,3.1,3,2.1,2.9,2.9,2.1,2.75,3.25,2.2,3,3,2.2,2.8,3.2,2.2
0,1,0,1,1.6,3.3,6,1.55,3.3,4.5,1.67,3.25,4.5,1.62,3.3,5,1.66,3.25,4.5
2,0,2,0,1.7,3.1,4.6,1.6,3.2,4.2,1.73,3.2,4.33,1.62,3.25,4.75,1.66,3.3,4.5
1,0,1,0,2.4,3,2.65,2.2,2.8,2.8,2.6,3.2,2.37,2.5,3,2.6,,,
2,3,0,2,3,3,2.15,2.9,2.9,2.1,2.75,3.2,2.25,3,3,2.2,2.87,3.1,2.2
1,1,1,0,2.4,3,2.6,2.2,2.8,2.8,2.37,3.2,2.6,2.4,3,2.7,2.4,3,2.7
2,2,2,1,2,3,3.4,1.9,2.8,3.3,2,3,3.4,2,3,3.4,2.1,3,3.2
1,0,1,0,1.25,4.5,9,1.3,4,7,1.25,4.5,10,1.25,4.75,9,1.25,4.5,10
3,1,0,0,2.8,3,2.25,2.3,2.8,2.6,3,2.87,2.25,2.9,2.9,2.3,2.9,2.8,2.37
3,1,0,0,1.25,4.6,9.5,1.25,4.3,8,1.25,5,8,1.25,4.5,9,1.28,4.5,8
2,0,0,0,2.05,3,3.3,1.9,2.9,3.2,2.1,3,3.2,1.9,3,3.5,2,3,3.4
1,0,1,0,1.9,3.1,3.7,2.1,2.9,2.9,1.91,3.25,3.4,2,3,3.4,2,3.2,3.2
4,3,1,0,1.75,3.2,4.2,1.7,3.1,3.8,1.67,3.25,4.5,1.7,3.1,4.5,1.72,3.2,4.33
0,2,0,1,2.3,3,2.85,2.2,2.8,2.8,2.37,3.2,2.6,2.38,3,2.7,2.25,3.1,2.8
4,0,1,0,1.2,4.7,12,1.15,5.5,11,1.2,5,11,1.22,4.8,10,1.2,5,11
0,2,0,1,2.3,3,2.8,2.1,2.8,2.9,2.25,3.2,2.75,2.3,2.88,2.9,2.37,2.87,2.8
0,1,0,1,2.1,3,3.2,2.1,2.9,2.9,2.2,3.2,2.8,2.15,3,3.1,2.25,3.1,2.8
2,0,1,0,2.05,3.1,3.2,2,2.9,3,1.91,3.2,3.5,2,3.1,3.3,1.83,3.2,3.75
4,2,3,2,1.55,3.2,6.5,1.5,3.4,4.7,1.61,3.5,4.5,1.62,3.25,5,,,
0,1,0,1,2.25,3,2.9,2.1,2.9,2.9,2.25,3.2,2.75,2.3,3.1,2.7,2.3,3.2,2.62
0,2,0,1,1.57,3.3,5.4,1.55,3.3,4.5,1.44,3.6,6.5,1.5,3.4,6,1.53,3.4,5.5
