FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
1,0,0,0,1.19,5.5,11,1.2,5,10,1.2,5,11,1.22,5,10,1.17,5.5,12,1.16,5,15
3,2,2,2,2.4,2.9,2.9,2.3,2.9,2.8,2.37,2.87,2.8,2.4,2.88,2.8,2.4,2.88,2.75,2.37,2.9,2.8
2,0,1,0,2.1,2.9,3.4,2,2.9,3.4,2,3,3.4,2.1,2.9,3.3,2.1,2.88,3.3,2.1,2.75,3.5
2,0,0,0,2.3,2.9,2.95,2.3,2.7,3,2.37,2.8,2.87,2.38,2.88,2.88,2.3,2.88,2.9,2.4,2.8,2.87
1,3,1,1,3.55,3,2,3.2,2.9,2.1,3.6,2.87,2,3.5,3,2,3.4,2.8,2.1,3.75,3,1.9
2,1,1,0,1.6,3.25,5.4,1.7,3.2,4.2,1.61,3.25,5,1.62,3.25,5,1.62,3.25,5,1.61,3.3,5
3,0,1,0,1.26,4.65,9.25,1.3,4.2,8,1.3,4,9,1.25,4.5,10,1.29,4.33,8.5,1.25,4.5,10
1,1,1,0,,,,2.3,2.7,3,2.25,2.87,3,2.2,2.88,3.2,2.25,2.88,3,2.25,2.8,3.1
1,2,1,0,2.87,2.95,2.31,2.6,2.8,2.6,3,2.87,2.25,2.9,3,2.25,3,2.88,2.25,2.87,2.8,2.4
2,0,1,0,1.7,3.2,4.65,1.7,3.2,4.2,1.8,2.87,4.5,1.73,3.1,4.5,1.73,3.1,4.5,1.66,3.1,5
1,2,1,1,2.05,3,3.4,2,2.9,3.4,2,2.87,3.6,2,3,3.5,1.91,3,3.75,2,2.87,3.6
2,1,0,0,2,3,3.55,2,2.9,3.4,1.91,3,3.75,1.95,3,3.75,1.91,3.1,3.6,2,2.87,3.6
1,2,1,1,1.48,3.5,6.5,1.5,3.5,5.4,1.44,3.6,6.5,1.44,3.6,7,1.44,3.6,6.5,1.44,3.6,6.5
4,1,2,0,2.25,2.9,3.05,2.4,2.9,2.7,2.2,2.8,3.2,2.2,2.88,3.2,2.1,3,3.2,2.25,2.87,3
2,1,2,1,1.6,3.25,5.45,1.7,3.2,4.2,1.67,2.87,5.5,1.67,3,5.5,1.62,3.25,5,1.66,2.9,5.5
1,0,0,0,2.2,3,3.05,2.1,2.9,3.2,2.2,3,3,2.2,3,3,2.2,3.1,2.88,2.1,3,3.2
2,0,1,0,1.25,4.6,10,1.25,4.5,9,1.3,4,9,1.3,4.2,9,1.29,4.33,8.5,1.3,4,9.5
1,1,0,0,1.9,3,3.9,1.9,3,3.6,1.91,2.87,4,1.91,3,3.75,1.91,2.88,4,1.9,2.87,4
1,0,1,0,2.03,3,3.45,2,2.9,3.4,2,3,3.4,2.05,2.9,3.5,2,2.88,3.6,2.1,2.75,3.5
2,1,1,0,2.55,2.95,2.6,2.6,2.8,2.6,2.62,2.87,2.5,2.5,3,2.6,2.6,2.9,2.5,2.37,3.1,2.62
