FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
1,1,0,1,2.3,3.15,2.75,2.3,2.9,2.5,,,,2.3,3,2.8,2.3,3.1,2.75
1,0,0,0,2.5,3,2.6,2.4,2.9,2.4,,,,2.6,3,2.5,2.5,3.1,2.5
2,1,1,1,1.57,3.3,5.7,1.5,3.2,5,,,,1.5,3.4,6,1.57,3.25,5.5
2,0,2,0,2.35,3.1,2.7,2.2,2.8,2.8,,,,2.3,3,2.8,2.25,3.1,2.8
3,1,2,0,2.2,2.9,3.1,2.1,2.9,2.9,,,,2.2,3,3,2,3,3.4
2,0,1,0,2.3,3,2.85,2.2,2.8,2.8,,,,2.2,3.1,2.88,2.25,3,2.87
4,1,1,0,1.5,3.4,6.25,1.5,3.2,5,,,,1.5,3.4,6,1.5,3.4,6
1,0,1,0,2.05,2.8,3.6,1.9,2.8,3.3,,,,2,3,3.4,2.1,3,3.2
2,2,0,2,2.3,3.15,2.7,2.2,2.7,2.9,,,,2.2,3,3,2.25,3,2.87
1,1,1,0,2.35,3.1,2.65,2.1,2.8,3,,,,2.3,3,2.8,2.25,3,2.87
1,2,1,0,1.65,3.2,4.9,1.6,3.2,4.2,,,,1.67,3.25,4.5,1.72,3.2,4.33
1,0,1,0,1.45,3.6,6.5,1.5,3.2,5,,,,1.44,3.6,6.5,1.5,3.6,5.5
2,0,1,0,1.9,3,3.6,1.9,2.8,3.3,,,,1.91,3.1,3.6,1.8,3.25,3.8
1,0,1,0,2.4,3,2.7,2.3,2.7,2.7,,,,2.38,2.9,2.8,2.4,3.1,2.6
1,1,0,1,2.3,3.1,2.8,2.2,2.8,2.8,,,,2.1,3.2,3,2.1,3.2,3
3,2,0,1,1.45,3.6,6.5,1.45,3.5,5,,,,1.4,3.75,7,1.44,3.4,7
2,1,1,1,2.15,3.1,2.8,2.2,2.8,2.8,2.25,3.2,2.75,2.2,3.1,2.9,2,3.1,3.3
3,2,2,1,2,3,3.2,2.1,2.8,3,2.25,3.2,2.75,2,3.2,3.2,2.1,3.2,3
0,2,0,1,1.75,2.9,5,1.75,2.9,3.8,2,3.2,3.2,1.8,3.1,4,1.72,3.2,4.33
1,0,0,0,1.85,3.2,3.5,1.9,2.8,3.3,2,3.2,3.2,1.75,3.3,4,1.8,3.3,3.75
2,1,1,0,1.6,3.3,5.5,1.6,3.2,4.2,1.61,3.25,5,1.62,3.25,5,1.72,3.1,4.5
0,0,0,0,1.47,3.5,7,1.45,3.5,5,1.57,3.25,5.5,1.53,3.4,5.5,1.53,3.4,5.5
2,0,1,0,2.1,3.2,2.8,2,2.8,3.1,2.37,3.25,2.5,2.2,3.1,2.88,2.1,3.2,3
