5,3.8,1.53,6.6,4.1,1.62,1.056,0.984,0.972,5.3,4,1.5,6.5,4.05,1.42,1.04,0.972,0.852,6,4.2,1.45,6.5,4,1.57,1.04,0.96,0.942,6.1,4,1.5,5.6,3.9,1.55,0.896,0.936,0.93,6,4.25,1.5,5.75,4.25,1.53,0.92,1.02,0.918,5,3.5,1.57,6.5,3.75,1.57,1.04,0.9,0.942,5.75,4,1.55,5.75,4,1.55,0.92,0.96,0.93,5.5,4,1.57,6.5,4.2,1.57,1.04,1.008,0.942,5.75,4.2,1.53,5.5,3.8,1.6,0.88,0.912,0.96,4.85,4,1.55,6.1,4.1,1.57,0.976,0.984,0.942,0.98,1,0.9,0.92,1,1,0.95,2.75,0.91,0.87,2.5,1.03,0,0,0
2.06,3.35,2.8,2.46,3.3,3.35,0.9594,0.99,1.0385,2.33,3.2,2.75,2.25,3.15,2.9,0.8775,0.945,0.899,2.3,3.1,2.85,2.5,3.25,3,0.975,0.975,0.93,2.5,3.3,2.65,2.5,3.3,2.65,0.975,0.99,0.8215,2.35,3.25,3,2.4,3.2,3,0.936,0.96,0.93,2.25,3.2,2.75,2.6,3,3,1.014,0.9,0.93,2.5,3.2,2.8,2.45,3.2,2.85,0.9555,0.96,0.8835,2.6,3.2,2.75,2.55,3.3,3,0.9945,0.99,0.93,2.55,3.3,2.7,2.37,3.1,3.15,0.9243,0.93,0.9765,2.45,3.25,2.6,2.44,3.25,3.1,0.9516,0.975,0.961,1.14,-0.25,0.75,1.17,-0.25,0.77,1.03,2.25,0.83,1.03,2.25,0.87,10,10,1
1.2,5.2,5.6,1.2,8,19.5,0.96,1.12,1.17,1.14,6.9,12,1.16,6.9,10,0.928,0.966,0.6,1.15,7,15,1.22,6.5,15,0.976,0.91,0.9,1.2,5.8,13,1.2,5.8,13,0.96,0.812,0.78,1.18,6.5,16,1.17,6.5,18,0.936,0.91,1.08,1.14,6,12,1.2,6,15,0.96,0.84,0.9,1.2,6.5,12.5,1.2,7,16.5,0.96,0.98,0.99,1.18,7,13,1.22,7,15,0.976,0.98,0.9,1.2,7,11,1.17,7,13,0.936,0.98,0.78,1.18,6.5,10,1.22,7.2,11.8,0.976,1.008,0.708,1.03,-2,0.85,0.99,-1.75,0.93,1.06,3.25,0.8,0.95,3,0.95,0,1,-1
1.63,3.35,3.9,1.84,3.7,5.2,0.9936,0.999,0.988,1.7,3.4,4.5,1.65,3.4,4.9,0.891,0.918,0.931,1.72,3.3,4.5,1.75,3.6,5,0.945,0.972,0.95,1.75,3.5,4.5,1.75,3.5,4.5,0.945,0.945,0.855,1.75,3.5,4.75,1.7,3.6,5,0.918,0.972,0.95,1.83,3.3,3.6,1.7,3.4,5.5,0.918,0.918,1.045,1.85,3.4,4.2,1.78,3.6,5,0.9612,0.972,0.95,1.83,3.5,4.33,1.7,3.8,5.75,0.918,1.026,1.0925,1.85,3.5,4.3,1.7,3.6,5,0.918,0.972,0.95,1.82,3.45,3.8,1.68,3.65,5.81,0.9072,0.9855,1.1039,0.85,-0.5,1.03,0.88,-0.75,1.04,0.98,2.25,0.88,0.82,2.25,1.08,11,33,0
1.85,3.5,4,1.87,3.7,5,0.9537,0.999,1.1,1.8,3.4,3.9,1.85,3.3,3.8,0.9435,0.891,0.836,1.85,3.3,3.75,1.85,3.6,4.5,0.9435,0.972,0.99,1.8,3.5,4.2,1.8,3.5,4.2,0.918,0.945,0.924,1.8,3.4,4.75,1.8,3.4,4.75,0.918,0.918,1.045,1.8,3.4,3.6,2,3.2,4.2,1.02,0.864,0.924,1.83,3.4,4.33,1.85,3.4,4.2,0.9435,0.918,0.924,1.85,3.5,4.2,1.95,3.6,4.2,0.9945,0.972,0.924,1.85,3.6,4,1.8,3.5,4.33,0.918,0.945,0.9526,1.8,3.45,3.95,1.98,3.5,4,1.0098,0.945,0.88,1.12,-0.75,0.77,1,-0.5,0.92,0.91,2.25,0.95,0.94,2.25,0.96,20,30,3
2.38,3.35,2.6,3.3,3.4,2.44,1.155,0.986,0.8784,2.45,3.2,2.6,3.02,3.2,2.16,1.057,0.928,0.7776,2.25,3.2,2.87,2.9,3.25,2.4,1.015,0.9425,0.864,2.3,3.3,2.9,2.5,3.3,2.65,0.875,0.957,0.954,2.5,3.25,2.8,2.7,3.25,2.6,0.945,0.9425,0.936,2.2,3.2,2.8,3,3.1,2.45,1.05,0.899,0.882,2.5,3.3,2.7,2.6,3.25,2.65,0.91,0.9425,0.954,2.6,3.2,2.75,3.3,3.3,2.4,1.155,0.957,0.864,2.55,3.3,2.7,2.75,3.2,2.55,0.9625,0.928,0.918,2.45,3.25,2.6,3.25,3.38,2.28,1.1375,0.9802,0.8208,1.14,-0.25,0.75,0.91,0.25,1.01,0.93,2.25,0.93,0.93,2.25,0.97,11,13,-2
1.8,2.78,2.9,2.5,3.25,3.35,1.05,0.975,0.938,2.07,3.2,3.22,2.2,3,3.15,0.924,0.9,0.882,2.05,3.2,3.3,2.37,3.25,3.25,0.9954,0.975,0.91,2,3.3,3.6,2.1,3.3,3.3,0.882,0.99,0.924,2.1,3.3,3.5,2.1,3.3,3.5,0.882,0.99,0.98,2,3.2,3.2,2.5,3,3.1,1.05,0.9,0.868,2,3.4,3.6,2.35,3.25,3.3,0.987,0.975,0.924,2.15,3.3,3.4,2.5,3,3.1,1.05,0.9,0.868,2.15,3.3,3.4,2.2,3.15,3.5,0.924,0.945,0.98,2.05,3.3,3.25,2.51,3.15,3.05,1.0542,0.945,0.854,1.08,-0.5,0.8,1.13,-0.25,0.8,1.06,2.25,0.8,0.95,2,0.95,20,21,1
2.5,3.3,2.22,3.75,3.45,2.22,1.0125,0.966,0.999,3.3,3.3,2,3.6,3.3,1.9,0.972,0.924,0.855,3.2,3.3,2.05,4.2,3.5,1.95,1.134,0.98,0.8775,3.6,3.3,2,3.6,3.3,2,0.972,0.924,0.9,3.4,3.4,2.1,3.5,3.3,2.1,0.945,0.924,0.945,2.62,3.1,2.37,4,3.3,1.95,1.08,0.924,0.8775,3.2,3.25,2.2,3.5,3.3,2.2,0.945,0.924,0.99,3.4,3.4,2.1,4.33,3.6,1.95,1.1691,1.008,0.8775,3.25,3.4,2.15,3.5,3.25,2.1,0.945,0.91,0.945,3.25,3.3,2.05,4.35,3.43,1.94,1.1745,0.9604,0.873,1.05,0.25,0.83,0.97,0.5,0.94,1.06,2.5,0.8,1.11,2.5,0.8,12,36,-3
3.55,3.1,1.61,4.9,3.8,1.85,1.029,0.988,0.9805,3.8,3.6,1.77,3.68,3.4,1.85,0.7728,0.884,0.9805,4.33,3.8,1.65,4.5,3.6,1.83,0.945,0.936,0.9699,4.5,3.5,1.75,4.5,3.5,1.75,0.945,0.91,0.9275,4.5,3.75,1.75,4.5,3.75,1.75,0.945,0.975,0.9275,3.75,3.3,1.8,4,3.75,1.85,0.84,0.975,0.9805,4.5,3.75,1.72,4.5,3.5,1.78,0.945,0.91,0.9434,4.2,3.75,1.8,4.5,3.75,1.85,0.945,0.975,0.9805,4,3.6,1.83,4.33,3.6,1.75,0.9093,0.936,0.9275,3.95,3.45,1.8,3.95,3.45,2,0.8295,0.897,1.06,0.8,0.75,1.08,0.92,0.5,1,0.98,2.75,0.88,0.9,2.5,1,11,11,0
2.3,2.84,2.14,2.8,3.6,2.7,1.008,1.008,0.972,2.48,3.35,2.48,2.55,3.3,2.45,0.918,0.924,0.882,2.5,3.4,2.4,2.7,3.4,2.7,0.972,0.952,0.972,2.6,3.2,2.6,2.6,3.2,2.6,0.936,0.896,0.936,2.75,3.4,2.45,2.55,3.4,2.65,0.918,0.952,0.954,2.62,3.2,2.3,2.75,3.2,2.62,0.99,0.896,0.9432,2.6,3.5,2.5,2.65,3.1,2.7,0.954,0.868,0.972,2.7,3.4,2.5,2.75,3.6,2.62,0.99,1.008,0.9432,2.7,3.4,2.5,2.55,3.4,2.62,0.918,0.952,0.9432,2.65,3.25,2.4,2.7,3.53,2.52,0.972,0.9884,0.9072,0.77,0.25,1.12,1.05,0,0.87,0.88,2.75,0.98,0.82,2.75,1.08,1,3,-3
3.05,3.55,2.44,3.1,3.55,2.5,1.023,0.994,0.975,2.75,3.25,2.3,2.45,3.25,2.55,0.8085,0.91,0.9945,2.4,3.4,2.5,2.6,3.3,2.87,0.858,0.924,1.1193,2.75,3.3,2.4,2.75,3.3,2.4,0.9075,0.924,0.936,2.9,3.4,2.35,2.9,3.4,2.35,0.957,0.952,0.9165,2.75,3.6,2.4,2.62,3,2.87,0.8646,0.84,1.1193,2.75,3.4,2.4,2.75,3.4,2.4,0.9075,0.952,0.936,2.75,3.3,2.5,2.6,3.4,2.9,0.858,0.952,1.131,2.95,3.4,2.35,2.95,3.4,2.35,0.9735,0.952,0.9165,2.65,3.25,2.4,2.5,3.35,2.9,0.825,0.938,1.131,1.08,0,0.8,0.8,0,1.13,0.9,2.75,0.96,0.95,2.5,0.95,1,22,0
1.27,6.4,14.5,1.33,5.9,12.5,0.9842,1.062,1.125,1.22,5.4,10,1.26,5.2,8.6,0.9324,0.936,0.774,1.2,5.75,12,1.3,5.5,11,0.962,0.99,0.99,1.3,5,9,1.3,5,9,0.962,0.9,0.81,1.25,5.75,11,1.25,5.75,11,0.925,1.035,0.99,1.25,6,11,1.33,4.5,11,0.9842,0.81,0.99,1.26,5.25,11.5,1.3,5,9.5,0.962,0.9,0.855,1.28,5,11,1.3,5.75,12,0.962,1.035,1.08,1.25,5.75,10,1.25,5.75,10,0.925,1.035,0.9,1.25,5.5,8.45,1.31,5.81,9.5,0.9694,1.0458,0.855,1.08,-1.75,0.8,1.05,-1.5,0.87,1.06,3,0.8,0.9,2.75,1,11,42,2
2.16,3.4,4,2.12,3.35,4.2,0.954,0.9715,1.092,2.03,3.25,3.28,2.05,3.1,3.4,0.9225,0.899,0.884,1.95,3.1,3.6,2.05,3.3,3.8,0.9225,0.957,0.988,1.9,3.45,3.8,2,3.3,3.6,0.9,0.957,0.936,2.1,3.25,3.6,2.1,3.25,3.6,0.945,0.9425,0.936,2.15,3.2,3.6,2.15,3.1,3.6,0.9675,0.899,0.936,2.15,3.3,3.3,2.15,3.4,3.25,0.9675,0.986,0.845,1.72,3.5,5,2.2,3.4,3.6,0.99,0.986,0.936,2.1,3.3,3.5,2.05,3.2,3.8,0.9225,0.928,0.988,1.95,3.3,3.5,2.13,3.45,3.55,0.9585,1.0005,0.923,0.98,-0.5,0.9,0.87,-0.25,1.05,1.06,2.25,0.8,1,2.5,0.89,0,1,-1
2.24,3.4,3.75,2.28,3.3,3.8,0.9804,0.957,1.026,2.08,3.25,3.15,2.08,3.25,3.15,0.8944,0.9425,0.8505,1.8,3.25,4.25,2.15,3.3,3.6,0.9245,0.957,0.972,2,3.3,3.6,2,3.3,3.6,0.86,0.957,0.972,2.1,3.25,3.6,2.1,3.25,3.6,0.903,0.9425,0.972,2.15,3.25,3.5,2.25,3.1,3.4,0.9675,0.899,0.918,2.2,3.2,3.3,2.25,3.2,3.2,0.9675,0.928,0.864,2,3.3,3.8,2.25,3.2,3.75,0.9675,0.928,1.0125,2.15,3.3,3.3,2.15,3.2,3.5,0.9245,0.928,0.945,2.1,3.3,3.1,2.23,3.25,3.5,0.9589,0.9425,0.945,0.8,-0.25,1.08,0.91,-0.25,1.01,1.03,2.25,0.83,0.96,2.25,0.94,0,0,0
