FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
1,1,0,0,1.8,3.25,4,1.8,3.2,4.1,1.85,3.15,4,1.85,3.1,3.6,1.8,3.2,4,1.8,3.2,4,1.72,3.1,4.5,2,1.65,1.85,1.76,-0.5,2.04,1.8,-0.75,,,
4,0,1,0,1.9,3.2,3.6,1.95,3.1,3.6,2,3,3.6,1.9,3.1,3.5,2,3,3.4,1.91,3.1,3.75,1.9,3.1,3.6,2.1,1.6,2,1.64,-0.5,1.98,1.86,-0.5,,,
0,0,0,0,2.1,3,3.25,1.9,3.1,3.8,2.1,3,3.3,1.9,3.1,3.5,2,3,3.4,2.1,3,3.25,2.1,3,3.2,1.95,1.71,1.77,2.05,-0.25,1.8,2.04,-0.25,,,
1,0,0,0,1.61,3.4,5,1.55,3.3,6,1.67,3.25,5,1.65,3.3,4.4,1.66,3.25,4.5,1.7,3.2,4.75,1.66,3.3,4.5,2.1,1.6,1.95,1.85,-0.75,1.94,1.9,-0.75,,,
2,0,2,0,2.2,3,3.1,2.25,3.1,2.9,2.2,3,3.1,2.2,2.9,3,2.2,3,3,2.2,3,3.1,2.2,3,3,2.2,1.55,1.85,1.95,-0.25,1.88,1.96,-0.25,,,
1,0,0,0,1.57,3.4,5.5,1.45,3.7,6.5,1.55,3.5,5.5,1.5,3.5,5.4,1.5,3.4,6,1.57,3.4,5.5,1.53,3.25,6,2,1.65,1.95,1.85,-1,2,1.84,-1,,,
2,1,1,1,1.72,3.25,4.33,1.7,3.1,5,1.75,3.25,4.3,1.75,3.2,4,1.66,3.25,4.5,1.8,3.2,4,1.83,3,4,2.1,1.6,1.9,1.9,-0.75,1.96,1.88,-0.75,,,
1,0,0,0,2.1,3,3.25,2.1,3.1,3.2,2.15,3,3.2,2.2,2.9,3,2.2,3,3,2.2,3,3.1,2.15,2.9,3.2,2.2,1.55,1.85,1.95,-0.25,1.88,1.96,-0.25,,,
1,2,1,2,2.37,3,2.75,2.5,3.15,2.6,2.4,2.95,2.8,2.3,2.9,2.8,2.25,3.2,2.75,2.5,3,2.6,2.4,2.87,2.8,2.1,1.6,1.75,2.1,0,1.76,2.08,0,,,
1,1,1,0,2.37,3.2,2.62,2.35,3.15,2.8,2.5,3,2.65,2.4,2.9,2.7,2.38,3,2.75,2.5,3,2.6,2.5,2.9,2.62,2.1,1.6,1.8,2,0,1.8,2.04,0,,,
0,2,0,1,3.1,3,2.2,3.2,3.2,2.05,3.3,3,2.1,3.4,2.9,2,3.2,3.2,2,3.25,3,2.1,3.75,3,1.9,2.2,1.55,1.95,1.85,0.25,1.98,1.86,0.25,,,
1,1,1,1,1.61,3.25,5,1.6,3.4,5.5,1.6,3.35,5.3,1.6,3.3,4.8,1.62,3.25,5,1.62,3.4,5,1.61,3.1,5.5,2,1.65,1.75,2.1,-0.75,1.82,2.02,-0.75,,,
3,4,2,0,1.44,3.6,7,1.4,3.9,7.5,1.45,3.5,7.3,1.55,3.4,5,1.53,3.25,6,1.44,3.6,7,1.5,3.3,6.5,1.9,1.75,2.1,1.75,-1.25,2.08,1.76,-1.25,,,
0,2,0,1,2.37,3,2.75,2.3,3.1,2.9,2.45,2.9,2.8,2.4,2.9,2.7,2.38,2.8,2.88,2.4,2.88,2.88,2.4,2.87,2.8,2.1,1.6,1.75,2.1,0,1.78,2.06,0,,,
0,0,0,0,2.2,3,3.1,2,3.25,3.4,2.15,3,3.2,2.2,2.9,3,2,3.2,3.2,2.2,3,3.1,2.1,2.87,3.3,2.1,1.6,1.95,1.85,-0.25,1.98,1.86,-0.25,,,
0,1,0,0,2.1,3,3.25,2.1,3.15,3.25,2,3.1,3.45,1.9,3.1,3.5,1.91,3.2,3.5,2.1,3,3.25,2,2.87,3.6,2.1,1.6,1.75,2.1,-0.25,1.78,2.06,-0.25,,,
2,3,0,1,3.5,3,2,3.75,3.25,1.9,3.6,3,2,3.2,2.9,2.1,3.2,3,2.1,3.6,3,2,3.75,3,1.9,2.1,1.6,1.64,2,0.5,1.76,2.08,0.5,,,
1,2,1,0,2.2,3,3.1,2.15,3.15,3.15,2.25,3.1,2.9,2.2,2.9,3,2.25,3,2.88,2.25,3,3,2.15,3,3.1,2,1.65,1.95,1.85,-0.25,1.72,2.12,0,,,
4,0,3,0,1.36,4,7.5,1.35,4,9,1.4,3.75,7.75,1.4,3.7,6.5,1.4,3.6,7.5,1.4,3.75,7.5,1.4,3.5,8,1.9,1.75,2.1,1.53,-1.5,1.84,2,-1.25,,,
2,2,0,1,2,3,3.5,2.05,3,3.55,2.05,2.95,3.5,1.9,3.1,3.5,1.833,3.2,3.75,2,3,3.5,1.9,3,3.75,2.1,1.6,2.05,1.6,-0.5,2,1.84,-0.5,,,
3,0,2,0,1.72,3.25,4.33,1.7,3.3,4.75,1.8,3.1,4.25,1.8,3.1,3.8,1.727,3.2,4.333,1.8,3.2,4,1.8,3,4.2,2,1.65,1.8,1.79,-0.5,1.74,2.1,-0.5,,,
2,2,1,1,1.4,3.75,7.5,1.55,3.5,5.75,1.5,3.6,6,1.45,3.6,5.8,1.444,3.6,6.5,1.44,3.75,6.5,1.5,3.3,6.5,2.1,1.6,1.5,2.25,-0.5,1.92,1.92,-1,,,
2,1,1,1,1.61,3.4,5,1.6,3.5,5.25,1.65,3.25,5,1.7,3.2,4.2,1.727,3.2,4.333,1.62,3.4,5,1.7,3,5,2.2,1.55,1.65,1.97,-0.5,1.98,1.86,-0.75,,,
1,1,0,0,3,3,2.25,2.75,3.1,2.4,2.9,3,2.3,2.8,2.9,2.3,2.75,3,2.375,2.88,3,2.3,3.1,2.87,2.2,2.1,1.6,1.47,2.3,0.5,1.92,1.92,0.25,,,
1,0,0,0,2.25,3,3,2.4,3.1,2.75,2.3,3,2.9,2.2,3,2.9,2.25,3,2.875,2.3,3,2.88,2.37,2.9,2.8,2,1.65,2.3,1.47,-0.5,2.04,1.8,-0.25,,,
1,0,1,0,2,3,3.5,2.15,3.1,3.2,2.05,2.95,3.5,2.1,2.8,3.3,1.909,3.2,3.5,2,3,3.5,2,3,3.4,2,1.65,2.05,1.6,-0.5,1.82,2.02,-0.25,,,
3,0,1,0,1.83,3.25,3.75,1.95,3.15,3.65,1.85,3.1,4,1.9,3.1,3.5,1.909,3.2,3.5,1.85,3.1,4,1.83,3,4,2,1.65,1.85,1.75,-0.5,1.9,1.94,-0.5,,,
1,1,0,1,1.5,3.5,6,1.4,4,7.25,1.45,3.6,7,1.45,3.6,5.8,1.5,3.25,6.5,1.44,3.6,7,1.44,3.5,7,1.9,1.75,1.45,2.38,-0.5,2.1,1.74,-1.25,,,
2,1,1,1,2.3,2.87,3,2.35,3.05,2.85,2.35,2.85,3,2.4,2.9,2.7,2.38,3,2.75,2.38,2.88,2.88,2.3,2.9,2.9,2.2,1.55,2.35,1.46,-0.5,1.74,2.1,0,,,
0,0,0,0,5,3.2,1.66,5,3.4,1.65,5.2,3.2,1.65,4.4,3.3,1.65,4.5,3.25,1.67,4.75,3.2,1.7,5,3.3,1.61,2,1.65,1.98,1.65,0.5,1.96,1.88,1,,,
1,0,1,0,1.57,3.4,5.5,1.5,3.55,6.5,1.55,3.5,5.5,1.5,3.5,5.4,1.5,3.4,6,1.57,3.4,5.5,1.53,3.3,6,1.9,1.75,1.55,2.14,-0.5,1.88,1.96,-1.25,,,
3,1,2,1,2,3,3.5,2.05,3.1,3.4,2,3,3.6,1.9,3,3.6,2,3,3.4,2,3,3.5,1.95,3,3.6,2,1.65,2,1.64,-0.5,1.82,2.02,-0.5,,,
0,0,0,0,2.5,3,2.6,2.55,3.1,2.6,2.55,3,2.6,2.4,2.8,2.8,2.5,3,2.6,2.5,2.88,2.75,2.5,2.8,2.75,2.1,1.6,2.55,1.39,-0.5,1.8,2.04,0,,,
3,1,1,0,2.4,3.1,2.62,2.5,3.15,2.6,2.4,2.95,2.8,2.3,2.8,2.9,2.38,3.2,2.6,2.4,3,2.75,2.37,2.9,2.8,2,1.65,2.4,1.44,-0.5,1.76,2.08,0,,,
1,1,1,1,2.2,3,3,2.15,3.2,3.1,2.2,3,3.1,2.2,3,2.9,2,3.2,3.2,2.2,3,3.1,2.15,2.9,3.2,2.1,1.6,2.2,1.52,-0.5,2,1.84,-0.25,,,
0,0,0,0,2.37,2.87,2.87,2.45,3.05,2.75,2.4,2.85,2.9,2.3,2.9,2.8,2.25,3.2,2.75,2.38,2.88,2.88,2.4,2.8,2.87,2.1,1.6,2.4,1.44,-0.5,1.92,1.92,-0.25,,,
0,0,0,0,1.72,3.2,4.5,1.85,3.2,4,1.75,3.2,4.4,1.75,3.1,4.2,1.73,3.2,4.33,1.73,3.2,4.5,1.72,3.1,4.5,1.83,1.83,1.75,1.85,-0.5,1.76,2.08,-0.75,,,
1,0,0,0,2.5,3,2.62,2.3,3.1,2.9,2.5,3,2.65,2.2,3,2.9,2.25,3.2,2.75,2.5,3,2.62,2.37,3,2.7,2.1,1.6,2.5,1.41,-0.5,1.8,2.04,-0.25,,,
1,1,1,1,2.3,3.1,2.7,2.3,3.1,2.9,2.35,2.95,2.9,2.3,2.8,2.9,2.38,3,2.75,2.3,2.88,3,2.3,2.9,2.9,2.1,1.6,2.35,1.46,-0.5,2.12,1.72,-0.25,,,
1,1,1,1,2.4,3,2.7,2.45,3.05,2.75,2.45,2.95,2.75,2.4,2.9,2.7,2.5,3.2,2.5,2.5,2.88,2.75,2.4,2.9,2.75,2.1,1.6,2.45,1.42,-0.5,1.8,2.04,0,,,
1,1,0,1,2,3.2,3.2,2.2,3.1,3.1,2.1,3,3.3,2.1,2.9,3.2,2,3,3.4,2,3.1,3.4,2.05,3,3.3,2,1.65,2.1,1.57,-0.5,1.76,2.08,-0.25,,,
1,1,0,0,1.8,3.1,4,1.75,3.1,4.75,1.85,3.1,4,1.9,3,3.6,1.83,3,4,1.85,3.1,4,1.83,3,4,2.1,1.6,1.85,1.75,-0.5,2.02,1.82,-0.5,,,
1,0,1,0,1.57,3.25,5.5,1.55,3.45,6,1.6,3.3,5.5,1.7,3.1,4.4,1.62,3.2,5.5,1.67,3.25,4.75,1.66,3.1,5,2,1.65,1.6,2.06,-0.5,1.88,1.96,-0.75,,,
1,0,0,0,1.3,4.33,8,1.3,4.3,10,1.3,4.25,9.5,1.33,4,7.5,1.33,3.75,9,1.3,4.33,8.5,1.36,3.75,8,1.85,1.79,1.87,1.68,-1.5,2,1.84,-1.5,,,
2,0,2,0,2,3,3.4,2.05,3.05,3.5,2,2.95,3.65,1.9,2.9,3.8,2,2.88,3.6,2,3,3.5,1.95,2.9,3.75,2.2,1.55,2,1.63,-0.5,2.02,1.82,-0.5,,,
