FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH
0,0,0,0,6,3.75,1.444,6,3.85,1.45,7,4,1.35,,,,6,3.75,1.44,6,3.75,1.44,2,1.71,,,
1,2,1,0,2.2,3.4,2.625,2.15,3.3,2.85,2.2,3.1,2.8,,,,2.1,3.2,3,2.1,3.2,2.85,1.79,1.85,,,
2,0,1,0,4,3.6,1.667,4.3,3.6,1.65,4.6,3.4,1.6,,,,4.33,3.4,1.66,4.33,3.4,1.66,2,1.71,,,
3,0,3,0,1.364,4,7,1.31,4.5,7.5,1.3,4.2,8,,,,1.4,4,6,1.45,3.55,6,2,1.65,,,
0,0,0,0,3,3.4,2,3.3,3.3,1.95,3.4,3.2,1.9,,,,3.5,3.4,1.85,3.6,3.4,1.8,1.55,2.2,,,
1,2,1,0,4.5,3.5,1.61,5.25,3.4,1.6,3.8,3.1,1.8,,,,4.5,3.5,1.62,4,3.4,1.72,1.71,1.95,,,
0,1,0,0,1.36,4,7,1.36,4.25,7,1.35,4,7,,,,1.33,4,8,1.35,3.8,7.5,1.55,2.2,,,
3,2,1,0,1.53,3.6,5,1.55,3.5,5.4,1.45,3.8,5.4,,,,1.5,3.6,5.5,1.55,3.4,5,1.5,2.3,,,
2,1,2,0,1.72,3.4,4,1.71,3.4,4.25,1.75,3.3,3.8,,,,1.7,3.4,4.2,1.75,3.25,3.9,1.6,2.1,,,
0,1,0,1,2.3,3.4,2.5,2.4,3.35,2.5,2.6,3.1,2.3,,,,2.4,3.25,2.5,2.45,3.2,2.4,1.6,2.1,,,
2,3,0,2,1.83,3.4,3.5,1.85,3.4,3.6,1.85,3.2,3.5,,,,1.83,3.3,3.6,1.75,3.35,3.75,1.55,2.2,,,
0,3,0,1,2.7,3.25,2.25,2.7,3.25,2.3,2.7,3.2,2.2,,,,2.75,3.2,2.25,2.55,3.15,2.35,1.6,2.1,,,
1,0,0,0,1.2,5.5,9,1.2,5.5,10,1.15,6,12,,,,1.22,5,9,1.22,5,9.5,1.4,2.6,,,
3,2,1,2,1.44,3.75,6,1.45,3.7,6.5,1.45,3.8,5.4,,,,1.4,3.75,7,1.4,3.75,7,1.5,2.3,,,
0,2,0,2,5,3.8,1.5,5.5,3.8,1.5,5.4,3.8,1.45,,,,5.5,3.6,1.5,5.5,3.6,1.5,1.5,2.3,,,
0,0,0,0,1.8,3.3,3.75,1.75,3.4,4,1.85,3.1,3.6,,,,1.8,3.4,3.6,1.83,3.2,3.75,1.65,2,,,
1,2,1,0,3.6,3.4,1.8,3.5,3.3,1.9,3.1,3.2,2,,,,3.2,3.5,1.91,3.5,3.2,1.9,1.65,2,,,
5,1,3,1,1.1,6.5,17,1.08,7.5,18,1.07,8,16,,,,1.08,7,17,1.1,6.5,17,1.25,3.25,,,
0,0,0,0,1.57,3.5,5,1.57,3.5,5.2,1.55,3.5,4.8,,,,1.53,3.5,5.25,1.57,3.5,5,1.65,2,,,
0,1,0,0,1.72,3.4,4,1.75,3.4,4,1.75,3.2,4,,,,1.75,3.3,4,1.61,3.5,4.5,1.65,2,,,
0,4,0,0,2.37,3.3,2.5,2.55,3.3,2.35,2.7,3.2,2.2,,,,2.38,3.25,2.5,2.3,3.2,2.62,1.71,1.95,,,
3,0,1,0,1.143,5.5,15,1.15,6,12,1.2,5,10,,,,1.14,6,12,1.16,5.5,12,1.35,2.75,,,
3,1,3,0,2.3,3.2,2.625,2.2,3.25,2.8,2,3.2,3.1,,,,2.3,3.25,2.6,2.15,3.3,2.7,1.6,2.1,,,
1,2,0,2,2,3.2,3.2,2,3.25,3.2,2,3.2,3.1,,,,2.05,3.2,3.1,1.95,3.2,3.2,1.71,1.95,,,
4,0,3,0,1.1,6.5,15,1.1,6.75,17,1.12,6.5,13,,,,1.1,6.5,15,1.1,6.5,17,1.32,2.9,,,
3,2,2,0,1.4,3.75,7,1.4,3.9,6.75,1.45,3.8,5.4,,,,1.44,3.75,6,1.36,4,7,1.45,2.45,,,
0,1,0,0,1.571,3.5,5,1.55,3.55,5.2,1.5,3.7,5,,,,1.57,3.5,5,1.55,3.5,4.8,1.6,2.1,,,
1,1,0,0,1.727,3.4,4,1.75,3.3,4.1,1.8,3.1,3.8,,,,1.75,3.3,4,1.85,3.2,3.5,1.6,2.1,,,
1,1,1,1,3.25,3.4,1.909,3.5,3.25,1.9,3.6,3.3,1.8,,,,3.25,3.4,1.9,3.1,3.3,1.95,1.71,1.95,,,
1,3,1,2,2,3.2,3.2,1.95,3.25,3.2,2,3.1,3.2,,,,2.1,3.25,3,1.85,3.2,3.5,1.79,1.85,,,
3,0,2,0,1.4,3.75,7,1.35,4.1,7.5,1.4,3.9,6,,,,1.33,4,8,1.4,3.6,6.9,1.4,2.6,,,
3,4,3,1,1.667,3.4,4.333,1.65,3.5,4.5,1.7,3.3,4,,,,1.66,3.4,4.33,1.7,3.35,4,1.71,1.95,,,
2,0,0,0,1.25,4.5,10,1.25,5,9,1.3,4.2,8,,,,1.25,4.75,9,1.3,4.25,7.5,1.4,2.6,,,
2,1,0,1,2.25,3,3,2.15,3.15,3,2.3,3,2.7,,,,2.1,3.2,3,2.1,3.2,3,1.6,2.1,,,
2,0,0,0,2.2,3.2,2.8,2.25,3.2,2.8,2.3,3,2.7,,,,2.2,3.25,2.75,2.1,3.3,2.8,1.83,1.83,,,
0,0,0,0,4,3.5,1.727,4.2,3.3,1.75,4,3.3,1.7,,,,4.33,3.4,1.66,4,3.4,1.72,1.55,2.2,,,
1,0,0,0,1.571,3.5,5,1.55,3.5,5.5,1.5,3.8,4.8,,,,1.53,3.6,5.2,1.5,3.75,4.9,1.6,2.1,,,
3,1,0,1,2.25,3.2,2.75,2.3,3.25,2.65,2.4,3.1,2.5,,,,2.3,3.25,2.6,2.25,3.3,2.62,,,,,
