FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH
2,0,1,0,1.66,3.2,5,1.65,3.15,5.3,1.65,3.2,4.6,1.667,3.25,4.5,,,,1.61,3.25,5.2,1.72,3.1,4.5,2.1,1.56,1.85,1.95,-0.75,1.85,2.05,-0.75
1,0,0,0,1.66,3.2,5,1.7,3.15,4.85,1.6,3.3,4.8,1.667,3.25,4.5,,,,1.66,3.2,5,1.66,3.1,5,2,1.61,1.9,1.9,-0.75,1.85,2.05,-0.75
1,0,0,0,2.3,2.87,3,2.3,3,2.9,2.3,2.9,2.8,2.1,3.2,3,,,,2.3,2.87,3,2.37,3,2.7,2,1.61,2.03,1.77,-0.25,2.1,1.8,-0.25
2,4,1,1,2.87,3.2,2.2,3.1,3.1,2.2,3.1,3,2.1,,,,,,,3,3.1,2.2,3.4,3,2,1.95,1.66,1.95,1.85,0.25,2.05,1.85,0.25
3,0,2,0,1.72,3.2,4.5,1.75,3.2,4.65,1.65,3.2,4.6,,,,,,,1.75,3.1,4.5,1.66,3.3,4.5,1.9,1.7,1.7,2.05,-0.5,1.825,2.075,-0.5
1,2,0,2,3.25,3,2.1,3.35,3.1,2.1,3.2,2.9,2.1,,,,,,,3.25,3,2.1,3.3,3.1,2,1.9,1.7,2,1.8,0.25,1.8,2.1,0.5
0,0,0,0,3,3,2.25,3,3,2.3,3,3.1,2.1,,,,,,,3,3,2.25,2.8,3.1,2.25,2.2,1.51,1.9,1.9,0.25,2,1.9,0.25
0,2,0,0,1.66,3.2,5,1.67,3.25,5.2,1.6,3.3,4.8,,,,,,,1.61,3.2,5.5,1.57,3.3,5.5,2.1,1.56,1.85,1.95,-0.75,1.85,2.05,-0.75
1,0,1,0,1.66,3.2,5,1.7,3.25,4.95,1.65,3.2,4.6,,,,,,,1.7,3.2,4.75,1.61,3.3,5,2.2,1.51,1.9,1.9,-0.75,1.925,1.975,-0.75
0,0,0,0,1.8,3,4.33,1.85,3,4.5,1.75,3.1,4.2,,,,,,,1.8,3.2,4,1.72,3.2,4.33,2,1.61,1.8,2,-0.5,1.9,2,-0.5
0,1,0,1,2.25,3,3,2.3,3,3,2.4,2.9,2.7,,,,,,,2.25,3.1,2.87,2.2,3.1,2.87,1.9,1.7,2,1.8,-0.25,2,1.9,-0.25
2,2,1,1,2.1,3,3.25,2.15,3,3.35,2.2,2.9,3,,,,,,,2.1,3,3.3,1.9,3.2,3.5,2.1,1.56,2.1,1.67,-0.5,2.1,1.8,-0.5
3,1,2,0,1.44,3.75,6.5,1.5,3.5,7,1.4,3.7,6.5,,,,,,,1.44,3.6,7,1.36,4,7,1.8,1.8,1.9,1.9,-1,1.975,1.925,-1
4,1,3,1,2.5,3,2.62,2.5,2.95,2.6,2.6,2.8,2.6,2.5,3.2,2.5,,,,2.6,3,2.5,2.7,3,2.37,2.1,1.56,1.9,1.9,0,2.025,1.875,0
3,1,2,0,2,3,3.5,1.95,3.05,3.55,1.9,3.1,3.5,,,,,,,2,3,3.5,1.9,3.1,3.6,2,1.61,1.95,1.85,-0.5,2.05,1.85,-0.5
1,2,0,1,1.57,3.4,5.5,1.6,3.35,5,1.55,3.3,5.2,,,,,,,1.61,3.25,5.25,1.61,3.1,5.5,1.95,1.66,2,1.8,-1,2.1,1.8,-1
0,0,0,0,1.83,3,4.2,1.85,3.1,3.85,1.75,3.1,4.2,,,,,,,1.83,3,4.2,1.8,3.1,4,2.1,1.56,1.83,1.97,-0.5,1.9,2,-0.5
1,1,0,0,1.57,3.4,5.5,1.65,3.3,4.65,1.55,3.3,5.2,,,,,,,1.61,3.25,5.25,1.53,3.4,5.5,1.8,1.8,2,1.8,-1,2.1,1.8,-1
1,3,1,1,2.37,3,2.75,2.37,2.95,2.72,2.3,3,2.7,,,,,,,2.4,2.9,2.8,2.37,3,2.7,2.2,1.51,1.75,2.05,0,1.8,2.1,0
1,1,0,1,1.72,3.25,4.33,1.65,3.25,4.75,1.65,3.2,4.6,1.615,3.25,5,,,,1.61,3.4,5,1.61,3.3,5,1.8,1.8,1.9,1.9,-0.75,1.975,1.925,-0.75
2,0,1,0,1.9,3.2,3.6,1.9,3.1,3.65,1.9,3.1,3.5,,,,,,,1.9,3.1,3.75,1.83,3,4,1.95,1.66,1.9,1.9,-0.5,2.05,1.85,-0.5
5,1,2,1,1.33,4,9,1.33,4,8,1.35,4,7,,,,,,,1.33,4,8.5,1.36,3.75,8,1.74,1.85,2,1.8,-1.5,2.1,1.8,-1.5
0,0,0,0,2.2,3,3.1,2.1,3,3.2,2,2.9,3.4,,,,,,,2.2,2.87,3.2,2,3,3.4,2,1.61,1.85,1.95,-0.25,1.95,1.95,-0.25
0,0,0,0,3.25,3,2.1,3.3,3.1,2,3.3,3,2,2.75,3.2,2.25,,,,3.2,3,2.1,3.2,3,2.1,2.1,1.56,1.8,2,0.5,2,1.9,0.25
0,1,0,1,1.61,3.25,5,1.6,3.2,5.4,1.55,3.4,5,1.615,3.25,5,,,,1.57,3.25,5.5,1.53,3.4,5.5,1.85,1.74,2,1.8,-1,1.75,2.15,-0.75
1,0,0,0,2.1,3,3.25,1.9,3.1,3.65,2.1,2.8,3.3,2.1,3.2,3,,,,2,3,3.4,1.9,3.1,3.6,2,1.61,1.9,1.9,-0.5,2.1,1.8,-0.5
1,1,1,1,2.5,3,2.62,2.55,3,2.5,2.5,3,2.5,2.5,3.25,2.4,,,,2.5,3.1,2.5,2.5,3.1,2.5,2.2,1.51,1.9,1.9,0,1.95,1.95,0
2,1,0,1,1.9,3.2,3.6,1.85,3.1,3.85,1.85,2.9,3.8,1.8,3,4.333,,,,1.9,3,3.75,2,2.87,3.6,,,1.85,1.95,-0.5,2,1.9,-0.5
2,0,1,0,1.4,3.75,7.5,1.45,3.45,7,1.45,3.5,6,1.444,3.6,6.5,,,,1.4,3.6,7.5,1.4,3.6,7.5,1.95,1.66,1.9,1.9,-1.25,2.025,1.875,-1.25
0,1,0,0,2.37,3,2.75,2.3,3,2.8,2.3,2.9,2.8,2.25,3.2,2.75,,,,2.3,3,2.8,2.3,3.1,2.75,2.2,1.51,1.8,2,0,1.85,2.05,0
0,0,0,0,2,3,3.5,1.95,3.1,3.5,1.9,3,3.6,1.833,3.2,3.75,,,,2,3,3.4,2,3,3.4,2.2,1.51,1.95,1.85,-0.5,1.85,2.05,-0.25
0,2,0,1,1.66,3.2,5,1.75,3.2,4.2,1.85,3,3.8,1.8,3.2,4,,,,1.7,3.25,4.33,1.66,3.1,5,2.1,1.56,2,1.8,-0.75,1.75,2.15,-0.5
1,1,0,1,2.5,3,2.62,2.55,3,2.5,2.7,2.9,2.4,2.5,2.875,2.625,,,,2.6,2.87,2.6,2.6,2.8,2.6,1.9,1.7,1.9,1.9,0,1.85,2.05,0
1,1,1,0,1.72,3.2,4.5,1.8,3.1,4,1.8,3.1,3.8,1.8,3.2,4,,,,1.75,3.2,4.2,1.8,3.1,4,2.1,1.56,1.8,2,-0.5,1.85,2.05,-0.5
1,0,1,0,2.5,3.2,2.5,2.45,3,2.6,2.3,2.8,2.9,2.5,2.875,2.625,,,,2.5,3.1,2.5,2.5,3.1,2.5,2.2,1.51,1.8,2,0,1.85,2.05,0
1,3,0,0,1.83,3,4.33,1.75,3.1,4.25,1.8,3,4,1.8,3.2,4,,,,1.8,3.1,4,1.83,3,4,2.2,1.51,1.75,2.05,-0.5,1.925,1.975,-0.5
5,0,4,0,1.57,3.4,5.5,1.57,3.33,5.25,1.65,3.1,4.8,1.615,3.25,5,,,,1.62,3.25,5,1.57,3.3,5.5,2,1.61,1.8,2,-0.75,1.8,2.1,-0.75
0,1,0,1,2.3,3,2.87,2.25,3,2.85,2.1,2.9,3.2,2.25,3.2,2.75,,,,2.25,3,2.88,2.25,3.1,2.8,2.2,1.51,2,1.8,-0.25,2.075,1.825,-0.25
4,2,2,2,1.25,4.5,11,1.23,4.5,11,1.25,4.2,10,1.2,5,11,,,,1.25,4.5,9.5,1.22,5,9.5,1.8,1.8,1.7,2.05,-1.5,1.8,2.1,-1.5
4,1,3,0,2.3,3,2.87,2.4,3,2.65,2.3,2.9,2.8,2.4,3.25,2.5,,,,2.3,3,2.8,2.25,3.1,2.8,2.1,1.56,1.8,2,0,1.775,2.125,0
