FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
2,0,1,0,1.53,3.6,5.5,1.4,4,6.75,1.45,3.7,6.5,1.45,3.8,5.4,1.5,3.6,5.5,1.53,3.6,5.25,1.5,3.4,6,1.55,2.2,1.45,2.36,-0.5,1.92,1.92,-1.25,,,
3,0,3,0,1.66,3.4,4.33,1.7,3.5,4.2,1.65,3.4,4.75,1.65,3.3,4.2,,,,1.67,3.4,4.33,1.57,3.6,4.8,1.6,2.1,1.4,2.07,-0.5,,,,,,
3,2,3,1,1.57,3.5,5,1.5,3.75,5.6,1.5,3.7,5.75,1.55,3.5,4.8,1.57,3.5,5,1.53,3.6,5.25,1.6,3.5,4.75,1.55,2.2,1.5,2.25,-0.5,1.84,2,-1.25,,,
3,0,2,0,1.2,5,11,1.15,6.5,11,1.15,6.5,11,1.15,6,12,1.14,5.5,15,1.17,5.5,12,1.12,6.5,12,1.4,2.6,1.15,4.09,-0.5,1.7,2.14,-2,,,
2,3,1,2,2.2,3.2,2.8,2.1,3.3,3,2.2,3.2,2.9,2.2,3,2.9,2.2,3.2,2.8,2.25,3.2,2.75,2.2,3.3,2.7,1.71,1.95,2.2,1.52,-0.5,1.98,1.86,0,,,
3,2,3,0,2.1,3.2,3,2.1,3.3,3,2.1,3.2,3.1,2.1,3,3.1,2.1,3.2,3,2.1,3.2,3,2,3.3,3.1,1.65,2,2.1,1.57,-0.5,1.82,2.02,-0.25,,,
0,0,0,0,4,3.4,1.72,4,3.25,1.8,3.5,3.3,1.9,3.5,3.1,1.9,3.25,3.4,1.91,3.6,3.25,1.85,3.1,3.4,1.95,1.55,2.2,1.7,1.9,0.5,1.84,2,0.5,,,
4,2,2,1,1.16,6,15,1.15,6.5,11,1.15,6.5,11,1.15,6,12,1.14,6,12,1.17,5.5,12,1.16,6,10,1.4,2.6,1.15,4.09,-0.5,1.82,2.02,-2.25,,,
1,0,0,0,1.44,3.6,6.5,1.45,3.8,6.2,1.45,3.7,6.5,1.5,3.7,5,1.5,3.6,5.5,1.5,3.6,5.5,1.5,3.6,5.5,1.6,2.1,1.45,2.36,-0.5,1.96,1.88,-1.25,,,
3,2,0,1,1.72,3.2,4.33,1.75,3.45,4,1.75,3.45,4,1.65,3.3,4.2,1.73,3.4,4,1.73,3.25,4.2,1.7,3.4,4.2,1.65,2,1.75,1.85,-0.5,1.96,1.88,-0.75,,,
