FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
1,1,1,1,1.25,4.5,10,1.27,5,10.1,1.25,4.5,9,1.25,4.5,10,1.25,4.5,10,1.25,4.75,10,1.2,5,11,1.5,2.25,,
1,1,0,1,3.2,3.2,2,3.6,3.15,1.95,3.5,3.1,1.9,3.75,3.25,1.8,3.4,3.1,2,3.5,3.1,1.95,3.4,3,2,1.75,1.85,,
5,1,4,0,1.4,3.75,7,1.48,4,7.75,1.4,3.9,6,1.4,3.75,7,1.4,3.75,7.5,1.4,3.75,7.5,1.36,3.75,8,1.7,1.9,,
1,2,0,1,2.625,3.2,2.3,2.85,3,2.6,2.5,3,2.5,2.6,3.2,2.38,2.8,3.1,2.3,2.625,3.1,2.375,2.87,3,2.25,1.75,1.85,,
3,4,3,1,1.727,3.2,4.333,1.7,3.5,4.65,1.7,3.2,4.2,1.73,3.2,4.33,1.73,3.2,4.5,1.667,3.2,5,1.72,3.25,4.2,1.7,1.9,,
2,0,0,0,1.8,3.1,4,1.8,3.2,4.25,1.8,3.1,3.8,1.53,3.4,5.5,1.73,3.2,4.5,1.727,3.2,4.5,1.61,3.3,5,1.7,1.9,,
2,1,2,0,2.1,3.2,3,2.05,3.1,3.4,2,2.9,3.4,2.1,3.2,3,2.1,3,3.3,2.1,3,3.3,2,3.1,3.3,1.9,1.7,,
2,1,0,1,1.727,3.2,4.333,1.76,3.3,4.35,1.75,3.2,4,1.73,3.2,4.33,1.73,3.2,4.33,1.727,3.2,4.5,1.72,3.1,4.5,1.7,1.9,,
2,0,1,0,1.727,3.2,4.333,1.75,3.3,4.4,1.75,3.2,4,1.73,3.2,4.33,1.73,3.25,4.33,1.75,3.3,4.333,1.72,3.1,4.5,1.75,1.85,,
0,0,0,0,2.375,3.1,2.625,2.5,3.15,2.6,2.3,3,2.7,2.5,3.2,2.5,2.38,3.2,2.62,2.4,3.2,2.625,2.4,3.1,2.6,1.65,1.95,,
1,3,1,1,2.1,3.2,3,2.1,3.15,3.25,2,3,3.3,2.1,3.2,3,2.1,3.2,3.1,2.1,3.2,3.2,2.1,3.1,3.1,1.8,1.8,,
1,0,0,0,2,3,3.4,2,3.2,3.45,1.9,3,3.6,2,3.2,3.2,2,3.2,3.3,2,3.2,3.4,2,3,3.4,1.85,1.75,,
2,1,0,1,2.5,3.1,2.5,2.6,3.15,2.5,2.5,3,2.5,2.6,3.2,2.38,2.62,3.2,2.38,2.625,3.1,2.5,2.62,2.9,2.5,1.85,1.75,,
3,0,0,0,1.8,3.1,4,1.91,3.2,3.8,1.85,3,3.8,1.73,3.2,4.33,1.83,3.25,3.75,1.833,3.25,4,1.72,3.2,4.33,1.8,1.8,,
0,1,0,0,3,3,2.2,3.15,3.15,2.15,2.7,3,2.3,3.2,3,2.1,3.1,3.2,2.1,3.1,3.2,2.15,3.1,3.1,2.1,1.8,1.8,,
0,1,0,0,1.727,3.2,4.333,1.76,3.35,4.6,1.7,3.2,4.2,1.62,3.25,5,1.73,3.25,4.33,1.75,3.3,4.333,1.72,3.1,4.5,1.75,1.85,,
1,1,1,0,3,3.2,2.1,3,3.15,2.22,3.1,3,2.1,2.75,3.2,2.25,2.62,3.2,2.38,3.2,3.2,2.1,2.8,2.2,2.25,1.75,1.85,,
0,1,0,1,2.5,3.1,2.5,2.4,3.15,2.75,2.3,2.9,2.8,2.5,3.2,2.5,2.38,3.2,2.62,2.4,3.1,2.7,2.4,3,2.7,1.65,1.95,,
1,0,0,0,1.36,3.75,8,1.35,4.35,7.5,1.35,4,7,1.33,4,8,1.4,4,6.5,1.333,4.333,8,1.36,3.75,8,1.5,2.25,,
1,0,0,0,1.57,3.5,5,1.59,3.5,5.72,1.65,3.3,4.4,1.62,3.25,5,1.57,3.4,5.5,1.6,3.4,5.5,1.57,3.3,5.5,1.65,1.95,,
1,1,1,1,2.25,3.2,2.75,2.4,3.18,3.03,2.3,2.9,2.8,2.2,3.2,2.8,2.3,3.2,2.7,2.3,3.2,2.8,2.3,3.1,2.7,1.73,1.91,,
1,1,0,0,1.66,3.3,4.5,1.73,3.4,4.62,1.75,3.2,4,1.67,3.25,4.5,1.73,3.25,4.33,1.727,3.3,4.5,1.72,3.2,4.33,1.86,1.86,,
2,3,1,1,3.75,3.3,1.8,4.5,3.51,1.7,4.4,3.3,1.65,4.33,3.2,1.73,4.5,3.4,1.67,4.75,3.4,1.667,4.5,3.3,1.66,1.75,2,,
3,3,1,0,1.72,3.2,4.33,1.79,3.51,4.6,1.8,3.1,3.8,1.73,3.2,4.33,1.73,3.25,4.33,1.8,3.3,4,1.8,3.1,4,1.83,1.83,,
1,0,1,0,1.57,3.5,5,1.65,3.43,5.4,1.6,3.4,4.6,1.67,3.25,4.5,1.57,3.4,5.5,1.6,3.4,5.5,1.66,3.1,5,1.73,1.93,,
3,1,1,0,1.66,3.3,4.5,1.71,3.48,4.55,1.8,3.1,3.8,1.67,3.25,4.5,1.73,3.25,4.33,1.727,3.25,4.5,1.61,3.3,5,1.83,1.83,,
1,3,0,2,2.3,3.2,2.62,2.32,3.2,2.8,2.3,2.9,2.8,2.38,3.2,2.6,2.38,3.2,2.62,2.375,3.2,2.7,2.3,3,2.8,,,,
1,0,1,0,2.1,3.2,3,2.1,3.2,3.2,2.1,2.8,3.3,2.2,3.2,2.8,2.1,3,3.25,2.1,3.1,3.25,2.1,3,3.2,1.93,1.73,,
2,0,0,0,2.2,3,3,2.18,3.2,3.12,2.1,3,3.1,2.25,3.2,2.75,2.1,3.2,3.1,2.25,3.2,2.875,2.2,3.1,2.87,1.7,1.9,1.61,2.2
1,0,0,0,2,3.2,3.2,2,3.15,3.45,1.9,3,3.6,2.1,3,3.2,2,3.1,3.4,2.05,3.1,3.4,2,3,3.4,1.95,1.65,2,1.72
3,0,2,0,1.667,3.3,4.5,1.63,3.45,5.44,1.65,3.3,4.4,1.67,3.25,4.5,1.62,3.4,5,1.615,3.4,5,1.66,3.1,5,1.9,1.7,1.8,1.9
2,1,0,1,1.8,3.3,3.75,1.8,3.3,4.15,1.75,3.2,4,1.73,3.2,4.33,1.8,3.25,4,1.833,3.25,4,1.8,3.25,3.8,1.8,1.8,1.8,1.9
2,1,0,0,2,3,3.5,2,3.2,3.68,1.9,3.1,3.5,1.91,3.2,3.5,2,3.2,3.4,2,3.2,3.4,1.9,3.1,3.6,1.85,1.75,2,1.72
1,2,0,0,2.3,3.1,2.7,2.28,3.15,2.85,2.3,2.8,2.9,2.38,3.2,2.6,2.3,3.2,2.7,2.3,3.2,2.8,2.3,3.1,2.75,1.9,1.7,1.9,1.8
1,0,1,0,3.75,3.3,1.8,4.25,3.25,1.88,3.6,3,1.9,4.33,3,1.8,4,3.2,1.8,4,3.2,1.85,4,3.1,1.8,1.8,1.8,1.9,1.8
0,0,0,0,1.533,3.4,5.5,1.55,3.6,6.2,1.55,3.4,5,1.53,3.5,5.5,1.5,3.5,6,1.533,3.5,6,1.53,3.4,5.5,1.55,2.1,1.61,2.2
1,2,1,1,2.4,3,2.7,2.45,3.2,2.65,2.3,2.9,2.8,2.25,3.2,2.75,2.38,3.1,2.75,2.375,3.1,2.75,2.5,2.9,2.62,1.9,1.7,1.9,1.8
0,0,0,0,2.2,3.25,2.75,2.25,3.2,2.88,2.1,3,3.1,2.2,3.2,2.8,2.2,3.2,2.8,2.2,3.25,2.9,2.2,3,3,1.75,1.85,1.9,1.8
0,0,0,0,2.3,3,2.8,2.45,3.1,2.88,2,3,3.3,2.38,3,2.75,2.38,3,2.75,2.375,3,2.8,2.3,3.1,2.75,1.72,1.95,1.8,1.9
1,1,1,0,2.875,3,2.25,2.9,3.15,2.25,3.1,3,2.1,2.75,3,2.38,2.88,3.1,2.25,2.875,3.1,2.25,2.87,3.1,2.2,1.9,1.7,1.9,1.8
0,0,0,0,2.875,3,2.25,2.75,3.15,2.37,2.7,2.9,2.4,2.6,3.2,2.38,2.63,3.2,2.38,2.7,3.2,2.3,2.75,3.1,2.3,,,1.72,2
4,1,1,1,1.727,3.2,4.333,1.85,3.36,3.9,1.8,3.1,3.8,1.73,3.2,4.33,1.73,3.25,4.33,1.727,3.25,4.333,1.72,3.4,4,1.83,1.83,1.9,1.8
1,0,1,0,2.25,3.2,2.75,2.34,3.15,2.85,2.2,2.7,3.2,2.38,3,2.75,2.3,3,2.88,2.3,3,2.875,2.4,2.9,2.75,1.85,1.75,1.8,1.9
0,0,0,0,1.5,3.4,6,1.53,3.75,6,1.45,3.6,5.8,1.57,3.25,5.5,1.5,3.5,6,1.5,3.5,6,1.44,3.6,6.5,1.78,1.85,1.9,1.8
0,0,0,0,1.667,3.25,4.5,1.8,3.25,4.1,1.75,3.1,4.2,1.62,3.25,5,1.73,3.25,4.33,1.75,3.25,4.2,1.8,3.25,3.8,1.7,1.95,1.72,2
1,1,0,1,1.571,3.25,5.5,1.6,3.45,5.3,1.65,3.2,4.6,1.57,3.25,5.5,1.62,3.4,5,1.615,3.4,5,1.53,3.4,5.5,1.85,1.8,1.83,1.83
2,1,0,1,2.5,2.875,2.625,2.6,3.1,2.6,2.5,3,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.5,1.89,1.75,2,1.72
2,0,2,0,1.364,3.75,8,1.4,3.96,8,1.5,3.5,5.4,1.44,3.6,6.5,1.4,3.75,7.5,1.4,3.75,7.5,1.36,3.75,8,1.75,1.85,1.83,1.83
1,0,0,0,2.5,3.1,2.5,2.55,3.05,2.6,2.8,2.9,2.3,2.62,2.88,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.62,2.9,2.5,1.8,1.8,1.8,1.9
0,0,0,0,3,3.2,2.1,3.2,3.2,2.1,2.9,3,2.2,3,3,2.2,2.88,3.2,2.2,2.875,3.2,2.2,3.4,3,2,1.95,1.65,2,1.72
1,0,0,0,1.727,3.1,4.5,1.75,3.25,4.5,1.65,3.2,4.6,1.67,3.25,4.5,1.67,3.4,4.5,1.667,3.4,4.5,1.66,3.3,4.5,1.7,1.9,1.8,1.9
3,1,1,0,2,3.2,3.2,2,3.2,3.45,1.9,3.1,3.5,2,3.2,3.2,2.05,3.2,3.2,2.05,3.2,3.2,2,3,3.4,1.85,1.75,1.9,1.8
2,2,1,2,1.8,3.1,4,1.75,3.25,4.6,1.7,3.1,4.4,1.73,3.2,4.33,1.73,3.25,4.33,1.727,3.25,4.333,1.72,3.2,4.33,1.85,1.75,1.83,1.83
1,0,1,0,2.25,3,2.875,2.35,3.1,2.8,2.3,2.8,2.9,2.25,3,2.88,2.3,3.1,2.8,2.3,3.1,2.8,2.3,3.1,2.75,1.9,1.7,2,1.72
2,1,1,1,2.25,3,2.875,2.3,3.21,3.05,2.5,3,2.5,2.25,3.2,2.75,2.25,3,3,2.375,3.1,2.7,2.3,3.1,2.75,1.7,1.9,1.72,2
0,2,0,1,2.375,3.1,2.625,2.5,3.05,2.65,2.5,3,2.5,2.5,2.88,2.62,2.4,3.2,2.6,2.4,3.2,2.6,2.3,3.1,2.75,1.8,1.8,1.9,1.8
1,0,0,0,1.667,3.3,4.5,1.7,3.25,4.8,1.65,3.2,4.6,1.67,3.25,4.5,1.67,3.4,4.5,1.667,3.4,4.5,1.66,3.3,4.5,1.85,1.75,2,1.72
1,1,0,0,1.909,3.25,3.4,1.9,3.2,3.85,1.9,2.9,3.8,2,3.2,3.2,1.91,3.2,3.6,1.909,3.2,3.6,2,3,3.4,1.85,1.75,1.9,1.8
1,1,1,1,4,3.1,1.8,4.25,3.25,1.8,3.8,3.1,1.8,4,3.2,1.8,4,3.25,1.8,4,3.25,1.8,4,3.1,1.8,1.7,1.9,1.72,2
0,1,0,0,2.7,3,2.375,2.75,3,2.5,2.8,2.8,2.4,2.75,3,2.38,2.75,3,2.38,2.75,3,2.375,2.8,3,2.3,1.85,1.75,2,1.72
2,0,1,0,1.4,3.6,7.5,1.45,3.75,7.5,1.4,3.7,6.5,1.4,3.75,7,1.36,3.75,8.5,1.364,3.75,8.5,1.36,3.75,8,1.8,1.8,1.8,1.9
1,0,0,0,2.8,3,2.3,3.15,3.15,2.15,3.1,3,2.1,3,3.2,2.1,3,3.2,2.1,3.1,3.2,2.1,3.1,3.1,2.1,1.7,1.9,1.72,2
1,3,1,3,1.727,3.4,4,1.85,3.2,4.25,1.85,3,3.8,1.73,3.2,4.33,1.73,3.2,4.5,1.727,3.2,4.5,1.72,3.2,4.33,1.85,1.75,1.83,1.83
1,0,0,0,1.667,3.25,4.5,1.7,3.3,5,1.65,3.2,4.6,1.62,3.25,5,1.67,3.2,5,1.667,3.2,5,1.66,3.1,5,1.8,1.8,1.9,1.8
2,1,2,0,1.667,3.25,4.5,1.75,3.25,4.55,1.65,3.2,4.6,1.62,3.25,5,1.67,3.2,5,1.667,3.2,5,1.66,3.1,5,1.9,1.7,2,1.72
2,4,0,2,2.7,3,2.375,2.7,3.05,2.5,2.5,3,2.5,2.75,3,2.38,2.75,3,2.38,2.75,3,2.375,2.75,2.9,2.4,1.85,1.75,2,1.72
