FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
1,1,1,0,1.5,3.7,5.5,1.45,3.5,5,1.53,3.5,5.25,1.5,3.8,5,1.5,3.7,5
0,0,0,0,2.1,3.3,2.9,2,3,2.9,2.2,3.2,2.8,2.1,3.4,2.8,2.1,3.4,2.75
3,1,1,1,2,3.3,3.2,2.2,2.9,2.7,2.1,3.2,3,2,3.4,3,1.9,3.3,3.3
2,2,1,0,2,3.3,3.15,2.1,3,2.8,2.1,3.25,2.9,2.25,3.2,2.7,2.1,3.4,2.75
4,0,2,0,1.15,5.65,11.5,1.2,4.7,9,1.2,5.2,10,,,,1.2,5.25,9
1,3,0,1,2.1,3.3,2.9,2.1,2.9,2.9,2.2,3.2,2.8,,,,2.1,3.2,2.9
2,1,0,0,1.4,3.9,6.5,1.3,4,7,1.4,3.75,7,1.4,4,6.5,1.35,3.8,7.5
1,2,1,1,1.85,3.25,3.65,2,2.9,3,1.91,3.25,3.4,1.8,3.4,3.6,1.8,3.4,3.5
0,1,0,0,1.7,3.4,4.15,1.8,3,3.5,1.73,3.25,4.2,1.8,3.4,3.6,1.75,3.5,3.6
2,2,1,0,2.35,3.1,2.65,2.3,2.9,2.5,2.3,3.2,2.62,2.4,3.2,2.5,2.3,3.3,2.5
5,0,2,0,1.25,4.8,9,1.2,4.7,9,1.25,4.6,9,1.25,4.5,10,1.25,4.5,9
0,0,0,0,1.8,3.3,3.8,1.9,3,3.1,1.75,3.25,4,1.8,3.4,3.6,1.75,3.4,3.75
1,0,0,0,1.33,4.25,7.25,1.3,4,7,1.33,4,8,1.29,4.5,8,1.25,4.5,9
2,3,1,2,3.35,3.2,1.95,2.9,3,2,3.2,3.2,2,2.8,3.4,2.1,2.75,3.4,2.1
