FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
4,0,1,0,2.1,3.25,3,2.05,3.25,3.25,1.9,3.1,3.5,2,3.2,3.2,2,3.25,3.25,2.1,3.2,3.1,2.2,3.2,2.8,1.71,2,1.8,1.9,1.9,1.9,-0.25,1.8,2.05,-0.25,1.85,2.05,-0.25
0,2,0,0,1.72,3.5,4,1.7,3.5,4.6,1.65,3.3,4.4,1.667,3.4,4.333,1.67,3.4,4.33,1.7,3.4,4.33,1.72,3.1,4.5,1.65,2.05,1.72,2,1.9,1.9,-0.75,1.9,1.95,-0.75,1.95,1.95,-0.75
4,1,2,0,1.36,4,7.5,1.35,4.25,7.7,1.35,4,7,1.364,3.75,8,1.36,4,7.5,1.36,4,7.5,1.36,3.75,8,1.55,2.25,1.61,2.2,1.85,1.95,-1.25,1.9,1.95,-1.25,1.95,1.95,-1.25
2,0,0,0,2.1,3.25,3,2.2,3.2,3.05,2.2,3,2.9,2.1,3.2,3,2.1,3.25,3,2.1,3.25,3,2.1,3.2,3,1.75,1.95,1.83,1.83,1.95,1.85,-0.25,1.95,1.9,-0.25,1.95,1.95,-0.25
2,4,0,3,2.5,3.2,2.5,2.6,3.2,2.45,2.5,3,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.5,1.65,2.05,1.72,2,1.9,1.9,0,2.05,1.8,0,2.075,1.825,0
2,2,1,0,2.1,3.25,3,2.15,3.25,3,2.1,3,3.1,2.1,3.2,3,2.1,3.25,3,2.1,3.25,3,2.1,3.2,3,1.75,1.95,1.8,1.9,1.85,1.95,-0.25,1.8,2.05,-0.25,1.85,2.05,-0.25
1,1,1,1,2.1,3.25,3,2.1,3.2,3.2,2,3.1,3.2,2.1,3.2,3,2.1,3.25,3,2.1,3.25,3,2.1,3.2,3,1.6,2.15,1.72,2,1.85,1.95,-0.25,2.1,1.75,-0.5,2.05,1.85,-0.5
0,1,0,1,2.37,3.2,2.62,2.45,3.2,2.6,2.5,3,2.5,2.375,3.2,2.6,2.5,3.2,2.5,2.5,3.2,2.5,2.3,3.2,2.62,1.9,1.79,1.8,1.9,1.85,1.95,0,1.8,2.05,0,1.875,2.025,0
1,0,0,0,1.61,3.4,5,1.65,3.5,4.8,1.6,3.4,4.6,1.615,3.5,4.5,1.62,3.4,5,1.61,3.4,5,1.57,3.5,5,1.75,1.95,1.72,2,2.05,1.75,-1,2.05,1.8,-1,1.85,2.05,-0.75
3,0,1,0,2.62,3.2,2.37,2.8,3.25,2.3,2.7,3,2.3,2.625,3.4,2.25,2.8,3.1,2.3,2.8,3.1,2.3,2.8,3,2.3,1.75,1.95,1.8,1.9,1.8,2,0.25,1.85,2,0.25,1.8,2.1,0.25
1,0,0,0,1.3,4.5,8,1.38,4.25,7.5,1.45,3.8,5.4,1.333,4,8,1.33,4.2,8,1.33,4.2,8,1.33,4.2,7.5,1.55,2.25,1.61,2.2,1.85,1.95,-1.25,1.95,1.9,-1.25,1.9,2,-1.25
1,2,1,1,2.25,3.25,2.75,2.25,3.25,2.9,2.2,3.1,2.8,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.2,2.8,2.2,3.2,2.8,1.6,2.15,1.72,2,2,1.8,-0.25,1.95,1.9,-0.25,1.975,1.925,-0.25
1,1,1,1,1.9,3.25,3.5,1.85,3.25,3.9,1.75,3.2,4,1.91,3.2,3.5,1.91,3.25,3.5,1.91,3.25,3.5,1.9,3.2,3.5,1.75,1.95,1.8,1.9,1.85,1.95,-0.5,1.85,2,-0.5,1.9,2,-0.5
3,1,0,1,2.1,3.25,3,2.15,3.25,3.1,2.2,3,2.9,2.1,3.4,2.88,2.1,3.25,3,2.1,3.25,3,2.1,3.2,3,1.65,2.05,1.8,1.9,1.9,1.9,-0.25,1.85,2,-0.25,1.975,1.925,-0.25
2,0,1,0,3.5,3.25,1.9,3.4,3.3,2,3.1,3,2.1,3.2,3.2,2,3.25,3.25,2,3.25,3.25,2,3,3.2,2.1,1.65,2.05,1.72,2,1.85,1.95,0.5,1.85,2,0.5,1.9,2,0.5
4,1,1,1,1.4,3.75,7.5,1.45,3.75,7,1.5,3.7,5,1.44,3.6,6.5,1.44,3.75,6.5,1.44,3.75,6.5,1.4,3.75,7,1.6,2.15,1.8,1.9,1.9,1.9,-1.25,1.9,1.95,-1.25,2.05,1.85,-1.25
3,1,2,0,1.44,3.75,6.5,1.45,3.75,7,1.4,3.9,6,1.4,4,6.5,1.44,3.75,6.5,1.44,3.75,6.5,1.4,3.75,7,1.55,2.25,1.66,2.1,1.9,1.9,-1.25,2.05,1.8,-1.5,1.925,1.975,-1.25
3,0,1,0,1.83,3.25,3.75,1.97,3.25,3.5,2,3.1,3.2,1.8,3.25,3.75,1.85,3.25,3.75,1.85,3.25,3.75,1.9,3.3,3.3,1.6,2.15,1.72,2,1.97,1.83,-0.5,2.05,1.8,-0.5,2,1.9,-0.5
