FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
1,2,1,1,1.25,4.5,10,1.37,4.4,9.5,1.35,4,7,1.33,4,8,1.29,4.5,8.5,1.364,3.8,8.5,1.25,4.5,10,1.7,1.9,,
1,1,1,1,3.75,3,1.9,3.9,3.2,2.05,3.5,3.1,1.9,3.5,3.2,1.91,3.6,3.2,1.91,3.5,3.2,2,4,2.87,1.9,1.78,1.92,,
1,0,0,0,1.5,3.4,6,1.6,3.55,6,1.6,3.3,4.8,1.5,3.25,6.5,1.5,3.4,6.5,1.533,3.4,6,1.5,3.3,6.5,1.9,1.8,,
0,2,0,0,1.9,3,3.75,2.04,3.1,3.8,2,2.9,3.4,1.91,3.2,3.5,1.91,3.2,3.6,1.909,3.2,3.75,1.9,3.1,3.6,1.75,2.02,,
4,1,1,1,1.57,3.25,5.5,1.65,3.4,5.5,1.6,3.3,4.8,1.62,3.25,5,1.57,3.4,5.5,1.571,3.3,6,1.53,3.4,5.5,1.71,2.05,,
2,1,2,1,2.25,2.87,3,2.36,3.08,3.1,2.2,2.8,3.1,2.25,2.88,3,2.25,3,3,2.25,3,3.1,2.2,2.87,3.1,1.9,1.75,,
0,0,0,0,1.61,3.25,5,1.78,3.4,4.4,1.75,3.2,4,1.62,3.25,5,1.67,3.25,5,1.75,3.2,4.5,1.61,3.3,5,1.8,1.96,,
2,1,1,0,1.8,3,4.2,1.9,3.16,5,1.8,3,4,1.73,3.2,4.33,1.73,3.25,4.33,1.75,3.2,4.5,1.72,3.1,4.5,1.9,1.8,,
0,1,0,0,2.1,3,3.2,2.22,3.12,3.75,2,2.9,3.4,1.83,3.2,3.75,2,3.2,3.3,2,3.1,3.6,2,2.87,3.6,1.95,1.78,,
2,1,2,1,1.615,3.25,5,1.71,3.25,5.25,1.65,3.1,4.8,1.62,3.25,5,1.67,3.25,5,1.667,3.25,5,1.66,3.1,5,1.75,1.85,1.8,1.9
2,2,0,0,2.375,2.875,2.8,2.35,2.9,3,2.3,2.8,2.9,2.38,2.88,2.8,2.3,3,2.9,2.3,3,3,2.3,2.9,2.9,1.83,1.8,1.83,1.83
2,0,0,0,2.2,3,3,2.3,2.95,3.15,2.2,2.9,3,2.2,3.2,2.8,2.25,3,3,2.25,3,3.1,2.2,2.87,3.1,1.72,1.9,1.9,1.8
1,3,1,1,3.5,3.2,1.909,3.75,3.15,2,3.1,3,2.1,4,3.2,1.8,3.75,3.2,1.83,3.75,3.2,1.909,3.6,3.1,1.9,1.9,1.7,1.9,1.8
4,2,2,1,1.8,3,4.2,1.8,3.1,4.45,1.75,3.1,4.2,1.73,3.2,4.33,1.8,3.1,4.33,1.8,3.1,4.333,1.72,3.1,4.5,1.9,1.7,1.9,1.8
2,1,0,0,1.533,3.4,5.5,1.55,3.45,6,1.6,3.2,5,1.5,3.4,6,1.53,3.4,6,1.533,3.5,6,1.53,3.4,5.5,1.7,1.9,1.8,1.9
1,0,1,0,1.909,3,3.75,2.1,3.1,3.6,1.9,3,3.6,1.8,3.2,4,1.91,3,4,1.909,3,4,1.8,3.1,4,1.9,1.7,1.9,1.8
0,4,0,2,5,3.25,1.615,5.25,3.25,1.7,4.4,3.1,1.7,5,3.25,1.62,5,3.25,1.67,5,3.25,1.667,5,3.1,1.66,1.8,1.8,2,1.72
2,1,2,0,2.25,3,2.875,2.3,2.95,3.15,2.2,2.8,3.1,2.2,3.2,2.8,2.25,3.2,2.75,2.25,3.2,2.875,2.25,3,2.87,1.85,1.76,2,1.72
1,1,0,0,1.444,3.5,7,1.5,3.58,7.45,1.45,3.6,5.8,1.4,3.75,7,1.44,3.6,7,1.444,3.6,7,1.4,3.5,8,1.85,1.85,1.9,1.8
1,0,1,0,2.625,2.75,2.625,2.55,2.9,2.75,2.6,2.8,2.6,2.5,2.88,2.62,2.5,2.88,2.75,2.5,2.875,2.75,2.6,2.8,2.6,1.77,1.85,1.8,1.9
1,1,0,1,2.25,2.875,3,2.28,3.05,3,2.2,2.8,3.1,2.25,3,2.88,2.25,3.1,2.88,2.25,3.1,2.875,2.25,3,2.87,1.85,1.77,2,1.72
1,0,1,0,1.8,3,4.333,1.85,3.2,4.05,1.85,3,3.8,1.8,3.25,3.75,1.73,3.2,4.5,1.75,3.2,4.333,1.8,3.25,3.8,1.67,1.95,1.66,2.1
4,0,2,0,1.5,3.25,6.5,1.51,3.65,6.6,1.45,3.6,5.8,1.44,3.6,6.5,1.53,3.4,6,1.533,3.4,6,1.44,3.5,7,1.72,1.95,1.83,1.83
3,0,2,0,2.5,2.875,2.625,2.6,3,2.64,2.6,2.7,2.7,2.38,2.88,2.8,2.5,2.88,2.75,2.5,2.875,2.75,2.5,2.9,2.62,1.8,1.85,1.8,1.9
3,0,1,0,1.667,3.3,4.5,1.73,3.2,5.1,1.7,3,4.6,1.62,3.25,5,1.73,3.2,4.5,1.727,3.2,4.5,1.61,3.3,5,1.92,1.75,1.9,1.8
1,0,1,0,1.833,3,4,1.9,3.1,3.98,1.85,3,3.8,1.91,3.2,3.5,1.91,3.1,3.75,1.909,3.1,3.75,1.9,3,3.75,1.9,1.75,2,1.72
1,1,0,1,2,3,3.4,2.1,3.05,3.4,2,2.9,3.4,2,3,3.4,2.2,3.2,2.88,2.2,2.875,3.2,2.1,2.87,3.3,1.89,1.75,1.9,1.8
1,1,1,0,2.625,3.1,2.375,2.55,2.95,2.65,2.5,2.8,2.7,2.5,2.88,2.62,2.6,3,2.5,2.6,3,2.5,2.6,3.1,2.4,1.75,1.88,1.83,1.83
0,2,0,1,1.909,3,3.75,1.95,3.05,3.75,2,2.9,3.4,2,3,3.4,2,3.1,3.4,2,3.1,3.4,2,3,3.4,1.75,1.85,1.8,1.9
3,0,0,0,1.727,3.1,4.5,1.7,3.15,5,1.75,3,4.4,1.62,3.25,5,,,,1.667,3.25,4.75,1.66,3.1,5,1.8,1.8,1.83,1.83
1,1,1,0,4.333,3.2,1.727,4.75,3.2,1.8,3.8,3.1,1.8,4,3.2,1.8,4,3.25,1.8,4,3.25,1.8,4.5,3.1,1.72,1.7,1.9,1.72,2
4,0,2,0,1.286,4.5,8,1.35,4.46,8,1.35,3.8,7.5,1.3,4,9,1.3,4.33,8.5,1.3,4.333,8.5,1.28,4.5,8,1.65,1.95,1.72,2
2,3,2,2,4,3.1,1.8,3.8,3.2,1.9,3.6,3,1.9,4,3,1.83,4,3.2,1.8,4,3.2,1.8,3.75,3,1.9,1.8,1.8,1.83,1.83
2,2,2,1,2.5,2.875,2.625,2.56,2.95,2.65,2.7,2.6,2.7,2.5,2.88,2.62,2.6,2.88,2.6,2.6,2.875,2.6,2.5,2.9,2.62,1.8,1.8,1.9,1.8
0,4,0,2,2.7,3,2.4,2.7,2.95,2.5,2.7,2.8,2.5,2.5,2.88,2.62,2.6,3,2.5,2.6,3,2.5,2.6,2.8,2.6,1.8,1.8,1.9,1.8
3,3,3,1,2.375,2.875,2.8,2.42,3,2.82,2.1,2.8,3.3,2.38,2.88,2.8,2.5,2.88,2.75,2.5,2.875,2.75,2.37,2.9,2.8,1.75,1.85,1.8,1.9
1,0,0,0,1.8,3.1,4,1.82,3.15,4.18,1.75,3.1,4.2,1.73,3.2,4.33,1.8,3.2,4,1.8,3.2,4,1.8,3.1,4,1.8,1.8,1.9,1.8
2,0,0,0,4.5,3.25,1.667,4.6,3.2,1.75,4.2,3.1,1.75,5,2.88,1.73,4.5,3.1,1.73,4.5,3.1,1.75,4.5,3.1,1.72,1.8,1.8,1.83,1.83
0,0,0,0,2,2.875,3.6,2.08,3,3.5,2.1,2.8,3.3,2,3,3.4,2,3,3.5,2,3,3.5,2,3,3.4,1.8,1.8,1.8,1.9
1,1,0,0,1.667,3.25,4.5,1.75,3.25,4.85,1.75,3.1,4.2,1.62,3.25,5,1.67,3.2,5,1.667,3.2,5,1.61,3.3,5,1.9,1.7,2,1.72
2,0,0,0,1.444,3.5,7,1.45,3.75,7,1.4,3.7,6.5,1.44,3.6,6.5,1.5,3.5,6,1.5,3.5,6,1.44,3.3,7.5,1.7,1.9,1.72,2
