Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
D1,2015-9-1,Wolfsburg,Stuttgart,0,2,A,0,1,A,12500,9,5,3,5,0,0,1,1,19,14,4,0,3,1,0,0,30,10,,,,2,2.9,3,2.1,3.25,2.87,2.1,3,3.2,2.1,3.2,3,2.1,3.2,3
D1,2016-9-1,Hansa Rostock,Cottbus,0,0,D,0,0,D,23000,13,7,7,3,0,0,10,4,10,15,1,2,1,3,0,1,10,55,,,,1.9,2.9,3.2,2.1,3.2,3,2,3.2,3.2,2.1,3.2,3,2.1,3.1,3.1
D1,2016-9-1,Hertha,Munich 1860,2,1,H,0,1,A,30000,15,6,7,3,0,0,9,3,20,23,0,2,1,4,1,2,35,90,,,,1.6,3.2,4.2,1.61,3.5,4.5,1.62,3.4,4.75,1.73,3.4,4,1.53,3.3,5
D1,2022-9-1,Cottbus,Bayern Munich,0,3,A,0,2,A,20500,10,13,4,8,0,1,8,8,12,22,0,4,1,3,0,0,10,30,,,,3,2.9,2,3.2,3.2,2,3.5,3.25,1.91,3.75,3.2,1.83,3.3,3.1,2
D1,2022-9-1,Dortmund,Leverkusen,1,1,D,1,0,H,68600,7,8,3,5,0,0,4,4,24,28,5,2,3,3,0,0,30,30,,,,2.1,2.9,2.9,2.1,3.25,2.87,2.2,3,3,2,3.2,3.2,2,3.1,3.3
D1,2022-9-1,FC Koln,Nurnberg,1,2,A,1,2,A,29000,16,12,5,4,0,0,6,1,19,15,2,5,2,0,0,0,20,0,,,,1.65,3.1,4,1.57,3.5,5,1.6,3.4,5,1.73,3.4,4,1.66,3.3,4.5
D1,2022-9-1,Freiburg,Schalke 04,2,0,H,0,0,D,25000,12,15,6,6,0,0,3,5,7,16,4,2,0,2,0,0,0,20,,,,2.7,2.9,2.2,2.5,3.25,2.4,2.7,3.2,2.3,2.5,3.2,2.4,2.5,3.1,2.5
D1,2022-9-1,Hamburg,Werder Bremen,0,4,A,0,2,A,43000,16,12,5,7,0,0,15,6,15,22,4,0,3,1,0,0,30,10,,,,2,2.9,3,1.91,3.25,3.4,1.91,3.2,3.5,1.91,3.25,3.4,2,2.9,3.6
D1,2022-9-1,Kaiserslautern,Hertha,4,1,H,1,0,H,41500,12,11,8,4,1,1,10,8,20,19,0,2,2,2,0,0,20,20,,,,1.9,2.9,3.2,1.73,3.5,3.75,1.9,3.25,3.5,1.8,3.25,4,1.9,3.1,3.6
D1,2022-9-1,Stuttgart,Hansa Rostock,2,1,H,0,1,A,15000,18,4,7,1,0,0,5,0,24,26,1,6,5,3,1,1,75,55,,,,1.7,3.1,3.8,1.73,3.4,4,1.73,3.2,4.33,1.73,3.4,4,1.72,3.2,4.33
D1,2023-9-1,M'gladbach,St Pauli,2,2,D,0,0,D,23000,23,3,12,3,0,0,10,5,29,24,1,3,2,3,0,0,20,30,,,,1.6,3.2,4.2,1.5,3.4,6,,,,1.57,3.25,5.5,1.5,3.6,5.5
D1,2023-9-1,Munich 1860,Wolfsburg,2,1,H,1,0,H,7000,13,16,4,3,0,0,8,6,20,29,2,1,3,2,0,2,30,70,,,,1.8,3,3.5,1.67,3.4,4.33,1.75,3.25,4.2,1.73,3.4,4,1.66,3.3,4.5
D1,2029-9-1,Hansa Rostock,Munich 1860,2,2,D,1,1,D,16000,18,12,7,3,0,2,9,10,14,15,0,1,2,0,0,0,20,0,,,,2.2,2.9,2.7,,,,2.3,3.1,2.75,2.25,3.1,2.8,2.25,3.2,2.75
D1,2029-9-1,Hertha,FC Koln,3,0,H,1,0,H,25000,9,10,4,1,0,0,4,13,27,17,2,1,2,0,0,0,20,0,,,,1.6,3.2,4.2,,,,1.57,3.4,5,1.67,3.25,4.5,1.66,3.4,4.33
