Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
D1,2027-4-2,Hertha,Schalke 04,2,0,H,0,0,D,55000,15,4,6,2,1,0,3,3,8,13,1,4,2,3,0,0,20,30,2,3.15,3.35,2,3.1,3.2,2,3.2,3.2,,,,2.1,3.2,3,,,
D1,2027-4-2,Kaiserslautern,Cottbus,4,0,H,2,0,H,41500,19,5,10,1,1,0,10,2,12,17,6,1,0,3,0,0,0,30,1.33,4.3,7.7,1.3,4.2,8,1.364,4,7,,,,1.333,4,8,,,
D1,2027-4-2,Munich 1860,Stuttgart,3,3,D,0,2,A,18000,13,11,6,5,0,0,6,2,16,12,3,2,3,3,1,0,55,30,2.05,3.1,3.25,2.1,3,3.1,2.1,3,3.2,,,,2,3.2,3.2,,,
D1,2027-4-2,Nurnberg,Leverkusen,1,0,H,1,0,H,44600,10,16,5,6,0,1,1,9,21,16,4,11,1,5,0,0,10,50,4,3.4,1.75,3.8,3.1,1.8,4.333,3.2,1.727,,,,4,3.4,1.727,,,
D1,2027-4-2,Werder Bremen,St Pauli,3,2,H,0,2,A,35600,23,6,8,3,1,0,7,2,19,15,9,2,3,2,1,0,55,20,1.22,5.05,10.5,1.3,4.2,8,1.222,5,9,,,,1.286,4.5,8,,,
D1,2027-4-2,Wolfsburg,Bayern Munich,0,1,A,0,1,A,21600,14,7,6,3,0,0,6,0,12,15,9,0,1,3,0,0,10,30,4.4,3.6,1.64,4,3.2,1.75,4,3.4,1.727,,,,4,3.4,1.727,,,
D1,2004-5-2,Bayern Munich,Hansa Rostock,3,2,H,1,0,H,69000,21,9,8,5,1,0,7,6,20,21,2,1,0,2,0,0,0,20,1.14,6,11.5,1.2,5,10,1.167,5.5,11,1.143,6,12,1.167,6,11,1.16,5.5,12
D1,2004-5-2,Cottbus,FC Koln,2,3,A,0,1,A,19435,14,9,9,5,0,0,11,1,19,15,2,1,3,2,0,0,30,20,1.7,3.4,4.3,1.65,3.3,4.4,1.727,3.5,3.75,1.727,3.4,4,,,,1.66,3.3,4.5
D1,2004-5-2,Dortmund,Werder Bremen,2,1,H,1,1,D,68000,12,8,5,4,2,1,8,1,15,25,5,1,1,3,0,1,10,55,1.35,4.15,7.5,1.45,3.8,5.4,1.4,3.75,7,1.4,3.75,6.5,1.364,4,7,1.4,4.33,5.5
D1,2004-5-2,Freiburg,Hamburg,4,3,H,2,2,D,25000,11,15,7,6,0,1,5,5,14,15,0,2,2,1,0,0,20,10,2.35,3.2,2.65,2.3,3.1,2.6,2.4,3.25,2.5,2.375,3.1,2.6,2.5,3.1,2.5,2.3,3.2,2.62
D1,2004-5-2,Leverkusen,Hertha,2,1,H,1,0,H,22500,8,5,6,3,0,0,10,2,15,15,3,2,0,0,0,0,0,0,1.4,3.9,7,1.45,3.8,5.4,1.444,3.75,6,1.4,3.75,7,1.4,4,6.5,,,
D1,2004-5-2,M'gladbach,Munich 1860,2,4,A,1,1,D,34000,22,13,13,8,0,0,9,5,7,16,4,1,0,0,0,0,0,0,2.2,3.2,2.9,2.1,3,3.1,2.2,3,3,2.25,3.1,2.8,2.2,3,3,,,
D1,2004-5-2,Schalke 04,Wolfsburg,1,2,A,0,1,A,60000,17,14,5,6,0,1,4,1,9,14,3,0,2,1,0,0,20,10,1.42,4,5.9,1.45,3.8,5.4,1.4,4,6.5,1.444,3.4,6.5,1.4,4,6.5,1.44,3.75,6
D1,2004-5-2,St Pauli,Nurnberg,2,3,A,1,2,A,22000,8,11,4,7,0,0,11,5,12,16,5,2,0,3,0,0,0,30,2.1,3.25,3,2.1,2.9,3.2,,,,2.2,3.2,2.8,2.2,3.2,2.8,,,
D1,2004-5-2,Stuttgart,Kaiserslautern,4,3,H,1,1,D,30000,11,10,7,7,0,0,5,2,17,14,1,3,2,3,0,0,20,30,2.6,3.2,2.4,2.9,2.8,2.3,2.5,3.25,2.4,2.7,3.2,2.3,2.7,3.1,2.3,2.8,3,2.3
